,DivisionNm,CountNumber,BallotPosition,PartyAb,PartyNm,Elected,HistoricElected,PreferenceCount,PreferencePercent
272,Curtin,6,7,ALP,Australian Labor Party,N,N,31766.0,35.67
277,Dawson,7,4,LNP,Liberal National Party of Queensland,Y,Y,57405.0,64.61
278,Dawson,7,5,ALP,Australian Labor Party,N,N,31446.0,35.39
286,Deakin,6,4,LP,Liberal,Y,Y,53288.0,54.78
289,Deakin,6,7,ALP,Australian Labor Party,N,N,43981.0,45.22
292,Dickson,6,2,LNP,Liberal National Party of Queensland,Y,Y,52968.0,54.64
293,Dickson,6,3,ALP,Australian Labor Party,N,N,43980.0,45.36
301,Dobell,4,3,LP,Liberal,N,N,49209.0,48.5
303,Dobell,4,5,ALP,Labor,Y,Y,52244.0,51.5
308,Dunkley,6,4,ALP,Australian Labor Party,Y,N,51066.0,52.74
310,Dunkley,6,6,LP,Liberal,N,Y,45762.0,47.26
313,Durack,5,1,LP,Liberal,Y,Y,50332.0,64.76
317,Durack,5,5,ALP,Australian Labor Party,N,N,27389.0,35.24
320,Eden-Monaro,6,1,ALP,Labor,Y,Y,50472.0,50.85
321,Eden-Monaro,6,2,LP,Liberal,N,N,48787.0,49.15
329,Fadden,5,2,ALP,Australian Labor Party,N,N,34825.0,35.82
333,Fadden,5,6,LNP,Liberal National Party of Queensland,Y,Y,62387.0,64.18
338,Fairfax,7,4,LNP,Liberal National Party of Queensland,Y,Y,61944.0,63.44
343,Fairfax,7,9,ALP,Australian Labor Party,N,N,35696.0,36.56
344,Farrer,7,1,LP,Liberal,Y,Y,59260.0,60.94
347,Farrer,7,4,IND,Independent,N,N,37989.0,39.06
356,Fenner,3,4,ALP,Australian Labor Party,Y,Y,52462.0,60.56
357,Fenner,3,5,LP,Liberal,N,N,34171.0,39.44
359,Fisher,5,2,ALP,Australian Labor Party,N,N,36948.0,37.3
362,Fisher,5,5,LNP,Liberal National Party of Queensland,Y,Y,62100.0,62.7
367,Flinders,7,3,LP,Liberal,Y,Y,53943.0,55.64
369,Flinders,7,5,ALP,Australian Labor Party,N,N,43009.0,44.36
374,Flynn,6,1,ALP,Australian Labor Party,N,N,36985.0,41.34
381,Flynn,6,8,LNP,Liberal National Party of Queensland,Y,Y,52472.0,58.66
385,Forde,4,4,LNP,Liberal National Party of Queensland,Y,Y,53635.0,58.6
386,Forde,4,5,ALP,Australian Labor Party,N,N,37899.0,41.4
390,Forrest,6,3,LP,Liberal,Y,Y,58405.0,64.56
394,Forrest,6,7,ALP,Australian Labor Party,N,N,32057.0,35.44
397,Fowler,3,2,ALP,Labor,Y,Y,53540.0,63.99
400,Fowler,3,5,LP,Liberal,N,N,30124.0,36.01
402,Franklin,3,2,LP,Liberal,N,N,26555.0,37.79
404,Franklin,3,4,ALP,Australian Labor Party,Y,Y,43706.0,62.21
407,Fraser,4,2,LP,Liberal,N,N,33156.0,35.82
408,Fraser,4,3,ALP,Australian Labor Party,Y,N,59403.0,64.18
413,Fremantle,6,2,ALP,Australian Labor Party,Y,Y,51852.0,56.92
417,Fremantle,6,6,LP,Liberal,N,N,39251.0,43.08
420,Gellibrand,2,1,ALP,Australian Labor Party,Y,Y,63878.0,64.83
422,Gellibrand,2,3,LP,Liberal,N,N,34653.0,35.17
427,Gilmore,5,4,ALP,Labor,Y,N,56652.0,52.61
430,Gilmore,5,7,LP,Liberal,N,N,51025.0,47.39
434,Gippsland,5,4,ALP,Australian Labor Party,N,N,32222.0,33.33
436,Gippsland,5,6,NP,The Nationals,Y,Y,64456.0,66.67
440,Goldstein,4,3,ALP,Australian Labor Party,N,N,41928.0,42.21
442,Goldstein,4,5,LP,Liberal,Y,Y,57408.0,57.79
447,Gorton,3,4,ALP,Australian Labor Party,Y,Y,61861.0,65.36
448,Gorton,3,5,LP,Liberal,N,N,32780.0,34.64
452,Grayndler,4,4,GRN,The Greens,N,N,32285.0,33.7
453,Grayndler,4,5,ALP,Labor,Y,Y,63529.0,66.3
457,Greenway,4,3,LP,Liberal,N,N,45082.0,47.2
458,Greenway,4,4,ALP,Labor,Y,Y,50425.0,52.8
462,Grey,6,2,ALP,Australian Labor Party,N,N,37943.0,36.68
466,Grey,6,6,LP,Liberal,Y,Y,65504.0,63.32
469,Griffith,4,1,LNP,Liberal National Party of Queensland,N,N,46958.0,47.14
470,Griffith,4,2,ALP,Australian Labor Party,Y,Y,52659.0,52.86
478,Groom,4,4,LNP,Liberal National Party of Queensland,Y,Y,67274.0,70.48
480,Groom,4,6,ALP,Australian Labor Party,N,N,28174.0,29.52
483,Hasluck,6,3,LP,Liberal,Y,Y,46637.0,55.39
484,Hasluck,6,4,ALP,Australian Labor Party,N,N,37563.0,44.61
493,Herbert,6,5,LNP,Liberal National Party of Queensland,Y,N,53641.0,58.36
496,Herbert,6,8,ALP,Australian Labor Party,N,Y,38276.0,41.64
500,Higgins,4,4,LP,Liberal,Y,N,54139.0,53.88
501,Higgins,4,5,ALP,Australian Labor Party,N,N,46339.0,46.12
505,Hindmarsh,4,3,ALP,Australian Labor Party,Y,N,61606.0,56.54
507,Hindmarsh,4,5,LP,Liberal,N,N,47349.0,43.46
510,Hinkler,8,2,LNP,Liberal National Party of Queensland,Y,Y,59384.0,64.5
517,Hinkler,8,9,ALP,Australian Labor Party,N,N,32683.0,35.5
519,Holt,2,1,ALP,Australian Labor Party,Y,Y,55577.0,58.7
522,Holt,2,4,LP,Liberal,N,N,39110.0,41.3
524,Hotham,4,2,ALP,Australian Labor Party,Y,Y,53597.0,55.91
525,Hotham,4,3,LP,Liberal,N,N,42271.0,44.09
529,Hughes,5,1,LP,Liberal,Y,Y,57149.0,59.85
533,Hughes,5,5,ALP,Labor,N,N,38342.0,40.15
536,Hume,5,1,ALP,Labor,N,N,37915.0,37.01
539,Hume,5,4,LP,Liberal,Y,Y,64527.0,62.99
544,Hunter,6,2,NP,The Nationals,N,N,47976.0,47.02
549,Hunter,6,7,ALP,Labor,Y,Y,54050.0,52.98
553,Indi,5,3,IND,Independent,Y,N,51886.0,51.39
554,Indi,5,4,LP,Liberal,N,N,49070.0,48.61
559,Isaacs,4,2,LP,Liberal,N,N,42192.0,43.57
