INDP - 1 Digit Level,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Inadequately described,Information Media and Telecommunications,Manufacturing,Mining,Not applicable,Not stated,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade
Durack,5239,2752,6941,787,7933,7014,1001,715,7166,2859,381,2293,13718,97541,847,3131,2814,5291,1158,5805,4789,1574
Eden-Monaro,5574,2117,4208,1378,6364,5149,1064,854,7220,1837,763,3589,193,78663,762,2393,3792,11048,999,6133,2313,1123
Fadden,6040,3193,382,2090,8805,5683,486,1872,9177,2946,1112,4868,582,88885,893,2977,4255,3161,2122,8636,3129,1968
Fairfax,5592,2629,952,1175,7706,6028,597,1809,10411,2179,806,3110,903,81490,745,2619,3905,2699,1515,7081,2198,1440
Farrer,5138,1972,9133,599,5522,5817,905,1063,8396,2013,497,7574,239,92475,942,2661,2415,4086,673,7130,3065,1650
Fenner,4891,1945,226,1179,4833,6685,620,1366,6988,1272,1392,1205,52,65089,705,2221,6628,20525,963,5666,1757,826
Fisher,5287,2358,1345,1223,7996,5557,646,1747,8943,2116,591,3142,976,82871,669,2507,3346,2771,1411,7060,2194,1292
Flinders,3949,2377,1107,1427,8129,4985,573,974,7640,2100,508,4110,227,78003,708,2347,3217,3560,1192,6741,1662,1711
Flynn,3990,1961,6958,413,5476,5252,1594,610,5789,1894,266,5461,6410,87874,809,2514,2587,3139,954,5974,4100,1469
Forde,4366,2788,542,1291,9874,5675,671,1692,8426,3029,798,6729,551,91041,984,3260,3483,3643,1471,8091,4477,2653
Forrest,4912,2279,3208,842,7490,5501,997,890,7286,2063,471,5857,3876,81895,621,2535,2378,2905,1117,7341,2262,1053
Fowler,3937,2191,347,762,5743,3334,429,2493,6207,3400,918,7100,76,104266,1654,2734,2732,2394,788,6475,3980,2286
Franklin,2766,1222,1719,846,3804,4534,815,1183,5955,898,803,2170,142,55462,358,1692,2552,4796,571,4566,1437,800
Fraser,5468,3042,355,1026,5260,4251,430,2522,6756,3336,921,7528,21,99019,1568,2924,3227,3029,798,7358,6352,2236
Fremantle,4413,2186,530,1336,7146,7502,864,1668,9598,2872,712,4886,3093,75365,682,2814,5134,4507,1171,6858,3410,2002
Gellibrand,5110,2852,252,1989,5779,7001,987,4378,8211,2651,2267,5778,174,84870,1032,2606,7814,5304,1433,7257,5525,2758
