MSTP Registered Marital Status,Never married,Widowed,Divorced,Separated,Married,Not applicable
No usual address (Vic.),4105,141,755,546,1278,747
No usual address (WA),2793,113,760,374,1514,393
North Sydney,49237,5493,10322,2950,66116,27395
O'Connor,41259,6584,11197,4668,61569,31046
Oxley,46146,4978,10892,4819,62490,37840
Page,41941,9014,14681,5194,60145,28125
Parkes,43056,8486,10325,4703,55808,31393
Parramatta,47547,6290,10368,4069,82054,35998
Paterson,39684,7592,12574,4767,60052,30967
Pearce,48243,4498,11195,5066,71106,41654
Perth,54612,5870,11159,3579,54419,21447
Petrie,42218,7777,13521,5310,61473,32964
Rankin,50213,5348,11502,5393,65207,41498
Reid,57924,6266,9849,3414,76598,27300
Richmond,40201,9440,15911,4721,57203,25434
Riverina,40840,8602,10440,4489,60721,30697
Robertson,36552,8272,12871,4287,56014,25101
Ryan,50883,4817,7931,2661,59558,27618
Scullin,40229,5955,8325,4019,67783,31597
Shortland,36165,8051,11767,4123,58106,26267
Solomon,36225,2410,7141,2699,37788,22013
Spence,52141,7494,13573,5963,56284,37382
Stirling,43966,6196,10868,3599,58014,25340
Sturt,47249,9731,12211,3493,73502,28359
Swan,57306,6612,11817,3976,58460,25033
Sydney,118322,3526,12805,3736,48080,13707
Tangney,34816,6095,7632,2449,61055,23980
Wannon,38992,8848,10769,4158,61335,26968
Warringah,42019,5177,10148,2697,59280,28008
Watson,46012,6865,10194,4478,72044,35210
Wentworth,56709,5459,9905,2523,48977,22384
Werriwa,44351,5746,9225,4875,67621,39092
Whitlam,37624,7920,11568,4199,61909,29065
Wide Bay,33683,7316,13952,4792,58228,24716
Wills,57512,7373,8379,3165,53915,24559
Wright,38828,5043,10915,4562,64190,32906
