LGA,AGE5P - 0-4 years,AGE5P - 5-9 years,AGE5P - 10-14 years,AGE5P - 15-19 years,AGE5P - 20-24 years,AGE5P - 25-29 years,AGE5P - 30-34 years,AGE5P - 35-39 years,AGE5P - 40-44 years,AGE5P - 45-49 years,AGE5P - 50-54 years,AGE5P - 55-59 years,AGE5P - 60-64 years,AGE5P - 65-69 years,AGE5P - 70-74 years,AGE5P - 75-79 years,AGE5P - 80-84 years,AGE5P - 85-89 years,AGE5P - 90-94 years,AGE5P - 95-99 years,AGE5P - 100 years and over,HEAP - Postgraduate Degree Level,HEAP - Graduate Diploma and Graduate Certificate Level,HEAP - Bachelor Degree Level,HEAP - Advanced Diploma and Diploma Level,HEAP - Certificate III & IV Level,HEAP - Secondary Education - Years 10 and above,HEAP - Certificate I & II Level,HEAP - Secondary Education - Years 9 and below,HEAP - Supplementary Codes,HEAP - Not stated,HEAP - Not applicable,"INCP - $1,000-$1,249 ($52,000-$64,999)","INCP - $1,250-$1,499 ($65,000-$77,999)","INCP - $1,500-$1,749 ($78,000-$90,999)","INCP - $1,750-$1,999 ($91,000-$103,999)","INCP - $1-$149 ($1-$7,799)","INCP - $150-$299 ($7,800-$15,599)","INCP - $2,000-$2,999 ($104,000-$155,999)","INCP - $3,000 or more ($156,000 or more)","INCP - $300-$399 ($15,600-$20,799)","INCP - $400-$499 ($20,800-$25,999)","INCP - $500-$649 ($26,000-$33,799)","INCP - $650-$799 ($33,800-$41,599)","INCP - $800-$999 ($41,600-$51,999)",INCP - Negative income,INCP - Nil income,INCP - Not applicable,INCP - Not stated,INDP - Accommodation and Food Services,INDP - Administrative and Support Services,"INDP - Agriculture, Forestry and Fishing",INDP - Arts and Recreation Services,INDP - Construction,INDP - Education and Training,"INDP - Electricity, Gas, Water and Waste Services",INDP - Financial and Insurance Services,INDP - Health Care and Social Assistance,INDP - Inadequately described,INDP - Information Media and Telecommunications,INDP - Manufacturing,INDP - Mining,INDP - Not applicable,INDP - Not stated,INDP - Other Services,"INDP - Professional, Scientific and Technical Services",INDP - Public Administration and Safety,"INDP - Rental, Hiring and Real Estate Services",INDP - Retail Trade,"INDP - Transport, Postal and Warehousing",INDP - Wholesale Trade,"LFHRP - Employed, worked full-time","LFHRP - Employed, worked part-time","LFHRP - Employed, away from work","LFHRP - Employed, hours of work not stated","LFHRP - Unemployed, looking for full-time work","LFHRP - Unemployed, looking for part-time work",LFHRP - Not in the labour force,LFHRP - Labour force status not stated,LFHRP - Not applicable,GNGP - National Government,GNGP - State/Territory Government,GNGP - Local Government,GNGP - Private sector,GNGP - Not stated,GNGP - Not applicable,MSTP - Never married,MSTP - Widowed,MSTP - Divorced,MSTP - Separated,MSTP - Married,MSTP - Not applicable,"RLHP - Husband, Wife or Partner in a registered marriage","RLHP - Husband, Wife or Partner in de facto marriage, opposite-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, male same-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, female same-sex couple",RLHP - Lone parent,RLHP - Natural or adopted child under 15,RLHP - Step child under 15,RLHP - Foster child under 15,RLHP - Grandchild under 15,RLHP - Otherwise related child under 15,RLHP - Unrelated child under 15,RLHP - Natural or adopted dependent student,RLHP - Dependent student step child,RLHP - Dependent student foster child,"RLHP - Non-dependent natural, or adopted child",RLHP - Non-dependent step child,RLHP - Non-dependent foster child,RLHP - Brother/sister,RLHP - Father/mother,RLHP - Non-dependent grandchild,RLHP - Grandfather/grandmother,RLHP - Cousin,RLHP - Uncle/aunt,RLHP - Nephew/niece,RLHP - Other related individual (nec),RLHP - Unrelated individual living in family household,RLHP - Group household member,RLHP - Lone person,RLHP - Visitor (from within Australia),RLHP - Other non-classifiable relationship,RLHP - Not applicable,RELP - Buddhism,RELP - Christianity,RELP - Hinduism,RELP - Islam,RELP - Judaism,RELP - Other Religions,RELP - Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,RELP - Inadequately described,RELP - Not stated,SEXP - Male,SEXP - Female,MDCP - Married in a registered marriage,MDCP - Married in a de facto marriage,MDCP - Not married,MDCP - Not applicable,PreferencePercent,PartyNm
Berowra,7745,10055,10200,10565,8899,6182,6545,8512,10666,11109,11018,10278,8708,7806,5974,4294,2938,2148,1159,317,20,10987,3206,27253,12612,13457,31440,51,5775,4852,7493,28000,9322,7228,6782,5295,6136,6739,10050,7894,7096,7172,7640,7492,8350,428,12840,28000,6673,3443,2129,702,1081,6066,7828,546,4772,9059,2255,2280,3555,150,72838,669,2508,8751,3420,1446,6447,1976,3225,45216,24034,2027,1016,1587,1733,36866,4655,28000,2263,6719,630,62011,669,72838,32587,5727,6671,2142,70012,28000,64883,4499,105,123,4180,26079,723,49,111,47,47,10757,635,9,10327,721,7,987,1271,148,82,61,33,239,104,1312,1466,6746,2559,2912,3918,3951,83438,4629,1744,286,1157,39672,457,9789,71298,73836,64395,5216,39070,36449,65.65,Liberal
Blair,12471,12671,11449,10852,10925,11259,11721,10222,10624,10611,10277,9704,8383,7335,5353,3868,2432,1483,600,156,21,2203,1590,10396,10511,26420,45310,150,11965,3708,13577,36575,11659,7473,5685,3395,5113,9386,3777,1368,11820,11404,10229,10811,11825,656,9791,36575,11404,3617,2252,1427,726,5891,5954,995,1494,8911,2218,625,6739,679,93664,814,2708,2875,6358,1077,7106,4228,2017,43967,20996,2501,1267,4111,2332,42047,8596,36575,3116,8142,1197,55462,814,93664,46208,5923,11916,5710,56058,36575,50522,13236,229,344,8557,30537,2322,192,393,192,104,5795,857,24,8524,1060,17,1560,1122,323,140,120,90,193,151,2140,4039,11997,4935,8031,4579,1312,93713,973,613,64,900,48744,796,15282,80339,82061,49782,14553,46781,51301,51.21,Australian Labor Party
Blaxland,13426,12317,11142,11310,14141,16141,14346,11788,10659,10339,10252,9710,7965,6575,4774,3672,2805,2015,997,240,18,5455,1062,17320,11047,13942,50986,141,15070,9097,13620,36885,9939,5793,3987,2415,5932,13271,2859,970,14562,12048,10449,10696,11165,1319,20136,36885,12207,4742,2613,140,729,6907,3827,384,2642,7233,3424,1115,5261,37,110172,1894,2676,3425,2639,817,6893,4744,2306,39035,21541,1533,2358,4045,3302,57156,8780,36885,1488,4219,455,56403,1894,110172,44361,6899,10720,4921,70841,36885,61087,3712,126,93,7851,33254,819,42,240,195,130,10323,501,8,14065,769,11,2984,1755,291,140,400,188,630,268,4116,6942,9238,4058,7359,3043,14326,63216,5165,50995,35,1147,23610,375,15769,89071,85557,59962,5055,60475,49140,64.72,Labor
Bonner,9356,10032,9501,9857,9962,9152,10395,10412,11358,10966,10110,8879,7637,6789,5177,3949,2926,2007,898,231,24,6716,2940,22280,11806,18070,38841,44,7275,3503,9261,28889,10968,7740,7342,5051,5304,7455,7686,4299,8902,8897,8514,8853,10177,473,10783,28889,8303,4673,2465,306,1125,6215,7412,788,2758,9667,2257,1108,4651,844,76007,674,2764,6159,4909,1498,6880,4105,2364,46746,23414,2415,1048,2699,2215,36249,5957,28889,2561,8823,820,60733,674,76007,40431,6108,10217,3455,60525,28889,55142,9431,233,302,6140,25869,1178,37,165,90,69,7421,674,16,8010,757,4,1633,1037,213,99,130,86,234,119,2160,4982,10795,3863,4167,4600,3022,85986,2645,1963,178,1282,42849,690,11022,72730,76899,54664,10442,44497,40034,57.41,Liberal National Party of Queensland
Boothby,8700,8751,8282,9483,11302,10785,10859,10329,10550,10674,10709,10935,10169,9586,7373,5637,4721,3763,2123,490,62,8641,4044,27317,13446,18635,43096,54,8819,4589,11081,25822,12079,8233,7453,5300,6462,10229,7318,4061,11424,12568,11518,10598,11313,554,10851,25822,9352,5501,2683,365,1458,5331,8622,936,2995,13529,1661,1320,3908,677,88090,593,2736,5943,6086,1320,7523,2417,1909,43890,29407,2981,1031,2802,2615,50195,6682,25822,3889,9902,857,61995,593,88090,47841,9419,13168,3641,65533,25822,58582,10841,201,325,6490,23315,894,75,119,43,41,7673,652,4,7477,548,3,1835,639,151,87,145,47,143,73,1733,6928,20267,4928,4677,6304,2418,79823,2497,3087,154,1480,62090,878,13012,79062,86353,58264,11675,55055,40406,51.38,Liberal
Bowman,8105,9688,9818,9730,8194,7394,8368,8456,10002,10469,10724,10427,9442,8797,6560,4515,3040,2101,918,223,37,3111,2022,13382,12332,25388,42076,94,7977,3681,9339,27610,10911,7407,6501,3992,5227,7921,5730,3100,10642,10376,9532,9752,10704,446,9281,27610,7876,3894,2511,570,933,8344,5805,795,1887,8872,2366,908,5359,806,76849,742,3024,4097,4089,1343,7239,4130,2459,43931,22884,2257,1090,2640,1930,39016,5666,27610,1521,7048,1083,59776,742,76849,35223,6606,11444,4221,61909,27610,56740,10258,159,220,6306,24115,1646,86,200,88,42,6672,793,11,8272,1066,3,1122,1061,211,95,59,45,125,101,1634,2883,10888,4403,3593,4101,1306,88138,632,412,110,797,44527,683,10416,71987,75024,56183,11194,41361,38278,60.24,Liberal National Party of Queensland
Braddon,5706,6425,6187,6316,5445,5268,5322,5358,6086,6981,7432,7682,7235,6973,5345,3948,2723,1554,689,142,8,1115,965,6071,5853,17020,30044,110,10969,2497,9906,18328,6256,3753,3021,1998,3409,7620,1995,941,10696,9845,7907,7301,6828,315,5273,18328,7357,2941,1363,3431,376,3092,3435,457,520,5521,1109,263,3981,1330,60992,436,1698,1291,2088,454,4732,2301,1031,23682,15458,1966,762,2266,1205,33860,5316,18328,483,4026,679,36218,436,60992,26326,6065,8688,3250,40193,18328,35111,8539,66,106,4840,15450,1281,102,184,54,31,3252,494,19,4440,535,6,525,308,162,70,31,13,40,41,634,1987,12382,4717,3649,3758,613,54295,189,134,27,353,37482,442,9327,50142,52775,34855,8969,29844,29236,53.09,Liberal
Bradfield,9025,11436,11416,11444,9071,7643,9293,10709,11663,12283,11360,9549,8055,7392,6025,4867,3895,3040,1619,430,26,17943,3765,38836,12226,6802,31004,15,5014,4733,8044,31880,9269,7386,7027,5617,6596,6523,11679,14980,6141,6444,6904,6822,8198,561,16525,31880,7698,3961,2217,236,1086,3274,7037,409,7468,9958,2497,2985,2791,211,85033,727,2149,12407,2781,1889,6136,1766,3239,47877,24328,1985,1023,1904,2051,43998,5196,31880,2617,5425,400,66048,727,85033,35456,6812,7031,2176,76896,31880,69958,4725,207,156,4884,29720,670,31,59,58,44,11759,576,0,7802,425,3,1333,1143,143,76,155,61,279,83,1749,2913,9591,2679,3496,5477,5060,79193,4971,1741,3428,1379,51860,546,12081,76947,83304,69524,5514,42987,42233,66.56,Liberal
Brand,12804,12806,10980,10507,11387,12545,13259,11536,11621,11416,10431,8625,7101,6192,4826,3550,2400,1398,485,145,4,2118,1529,10999,10938,28494,46822,82,7377,3874,15194,36599,10689,7712,6615,5031,5468,8525,8115,3435,9980,8836,8650,8124,9331,754,13292,36599,12864,4178,2355,550,961,8169,5331,981,1308,8081,2711,605,5528,4211,92387,717,2773,3072,6225,1152,7583,3344,1791,45364,21939,3075,1263,5199,2770,38125,9696,36599,3287,6768,912,59955,717,92387,45361,5108,10999,4815,61152,36599,53130,14059,180,265,7223,31226,2103,138,366,174,81,6154,929,22,7659,1146,19,1416,889,284,99,102,46,181,113,1568,3095,11421,4744,7914,7293,1759,80052,1547,1158,68,1388,60241,960,16849,81996,82031,52539,15087,42367,54032,56.66,Australian Labor Party
Brisbane,7587,7119,6596,8349,17741,20535,17426,12647,11320,10931,9385,8046,6607,5343,3644,2486,1708,1353,685,156,17,12839,4859,38559,12089,12933,35590,39,3871,3190,14425,21310,12242,9517,9048,6361,4346,6644,11475,10481,6968,8313,8549,8549,10422,652,11055,21310,13771,8096,3599,319,1994,4991,7873,831,4355,11718,2297,1811,2629,1693,69672,751,2629,12814,6581,2636,6813,3671,1939,59535,26717,2540,1223,3040,2851,30429,12056,21310,4690,10557,818,73215,751,69672,70283,3915,10808,3311,50071,21310,42416,15607,1201,589,3976,18655,737,10,58,40,29,5330,395,6,3790,335,3,2476,356,96,57,190,62,134,91,2784,17750,19970,5221,8777,8647,3170,72493,3294,2059,304,1203,58535,1072,17589,79820,79898,42130,17654,57761,42150,54.92,Liberal National Party of Queensland
