LGA,AGE5P - 0-4 years,AGE5P - 5-9 years,AGE5P - 10-14 years,AGE5P - 15-19 years,AGE5P - 20-24 years,AGE5P - 25-29 years,AGE5P - 30-34 years,AGE5P - 35-39 years,AGE5P - 40-44 years,AGE5P - 45-49 years,AGE5P - 50-54 years,AGE5P - 55-59 years,AGE5P - 60-64 years,AGE5P - 65-69 years,AGE5P - 70-74 years,AGE5P - 75-79 years,AGE5P - 80-84 years,AGE5P - 85-89 years,AGE5P - 90-94 years,AGE5P - 95-99 years,AGE5P - 100 years and over,HEAP - Postgraduate Degree Level,HEAP - Graduate Diploma and Graduate Certificate Level,HEAP - Bachelor Degree Level,HEAP - Advanced Diploma and Diploma Level,HEAP - Certificate III & IV Level,HEAP - Secondary Education - Years 10 and above,HEAP - Certificate I & II Level,HEAP - Secondary Education - Years 9 and below,HEAP - Supplementary Codes,HEAP - Not stated,HEAP - Not applicable,"INCP - $1,000-$1,249 ($52,000-$64,999)","INCP - $1,250-$1,499 ($65,000-$77,999)","INCP - $1,500-$1,749 ($78,000-$90,999)","INCP - $1,750-$1,999 ($91,000-$103,999)","INCP - $1-$149 ($1-$7,799)","INCP - $150-$299 ($7,800-$15,599)","INCP - $2,000-$2,999 ($104,000-$155,999)","INCP - $3,000 or more ($156,000 or more)","INCP - $300-$399 ($15,600-$20,799)","INCP - $400-$499 ($20,800-$25,999)","INCP - $500-$649 ($26,000-$33,799)","INCP - $650-$799 ($33,800-$41,599)","INCP - $800-$999 ($41,600-$51,999)",INCP - Negative income,INCP - Nil income,INCP - Not applicable,INCP - Not stated,INDP - Accommodation and Food Services,INDP - Administrative and Support Services,"INDP - Agriculture, Forestry and Fishing",INDP - Arts and Recreation Services,INDP - Construction,INDP - Education and Training,"INDP - Electricity, Gas, Water and Waste Services",INDP - Financial and Insurance Services,INDP - Health Care and Social Assistance,INDP - Inadequately described,INDP - Information Media and Telecommunications,INDP - Manufacturing,INDP - Mining,INDP - Not applicable,INDP - Not stated,INDP - Other Services,"INDP - Professional, Scientific and Technical Services",INDP - Public Administration and Safety,"INDP - Rental, Hiring and Real Estate Services",INDP - Retail Trade,"INDP - Transport, Postal and Warehousing",INDP - Wholesale Trade,"LFHRP - Employed, worked full-time","LFHRP - Employed, worked part-time","LFHRP - Employed, away from work","LFHRP - Employed, hours of work not stated","LFHRP - Unemployed, looking for full-time work","LFHRP - Unemployed, looking for part-time work",LFHRP - Not in the labour force,LFHRP - Labour force status not stated,LFHRP - Not applicable,GNGP - National Government,GNGP - State/Territory Government,GNGP - Local Government,GNGP - Private sector,GNGP - Not stated,GNGP - Not applicable,MSTP - Never married,MSTP - Widowed,MSTP - Divorced,MSTP - Separated,MSTP - Married,MSTP - Not applicable,"RLHP - Husband, Wife or Partner in a registered marriage","RLHP - Husband, Wife or Partner in de facto marriage, opposite-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, male same-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, female same-sex couple",RLHP - Lone parent,RLHP - Natural or adopted child under 15,RLHP - Step child under 15,RLHP - Foster child under 15,RLHP - Grandchild under 15,RLHP - Otherwise related child under 15,RLHP - Unrelated child under 15,RLHP - Natural or adopted dependent student,RLHP - Dependent student step child,RLHP - Dependent student foster child,"RLHP - Non-dependent natural, or adopted child",RLHP - Non-dependent step child,RLHP - Non-dependent foster child,RLHP - Brother/sister,RLHP - Father/mother,RLHP - Non-dependent grandchild,RLHP - Grandfather/grandmother,RLHP - Cousin,RLHP - Uncle/aunt,RLHP - Nephew/niece,RLHP - Other related individual (nec),RLHP - Unrelated individual living in family household,RLHP - Group household member,RLHP - Lone person,RLHP - Visitor (from within Australia),RLHP - Other non-classifiable relationship,RLHP - Not applicable,RELP - Buddhism,RELP - Christianity,RELP - Hinduism,RELP - Islam,RELP - Judaism,RELP - Other Religions,RELP - Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,RELP - Inadequately described,RELP - Not stated,SEXP - Male,SEXP - Female,MDCP - Married in a registered marriage,MDCP - Married in a de facto marriage,MDCP - Not married,MDCP - Not applicable,PreferencePercent,PartyNm
Bruce,11748,10473,9815,10917,13817,14698,14941,12164,11285,10957,11028,10889,9841,8444,6023,4604,3428,2005,860,196,25,4802,1604,16496,13127,19159,50206,149,17030,8944,14452,32162,11793,6387,4207,2223,6790,13911,2377,808,15352,12969,10995,13076,13550,1302,18475,32162,12064,4538,3005,576,877,6290,3752,593,2225,8383,4030,955,10642,76,105760,1689,3142,3395,2382,794,7751,4228,3026,44867,23683,1874,2179,4625,3302,57192,8632,32162,1504,3691,660,64703,1689,105760,47086,8018,11876,4809,74342,32162,65328,6045,111,110,8718,28567,1088,15,272,202,99,9862,660,0,13424,986,9,3112,1849,318,112,432,157,587,213,3441,6290,11540,4231,6848,3625,19028,76974,8146,20834,176,5863,31661,710,15047,90542,87763,64300,7337,61793,44986,64.15,Australian Labor Party
Burt,13441,12459,10908,10903,11637,13299,14799,13213,11645,11037,10282,8798,8064,6706,4419,3255,2074,1224,482,127,6,4750,1730,16798,11534,23424,48439,119,8152,4730,12292,36808,12409,8482,6975,4627,6034,9196,6667,2582,9861,8858,8983,9252,11126,890,15607,36808,10421,4729,2502,499,1054,7253,5657,934,1683,9427,3143,698,5638,3169,91828,874,3441,3917,4650,1177,8443,5174,2876,48394,24417,2696,1447,4971,3053,39721,7274,36808,1781,7696,977,65629,874,91828,45513,5033,10090,4226,67105,36808,60192,10903,125,227,7396,32459,1673,157,371,180,79,7983,717,14,9374,995,17,2233,1244,263,115,229,94,353,157,2322,3947,10778,3813,5924,4450,5669,79377,6109,8664,64,3105,50794,870,14134,84525,84254,59573,11873,48227,49106,54.99,Australian Labor Party
Calare,10497,11113,10420,10359,9331,9448,9401,8977,9987,10561,10704,10829,9775,9633,7542,5302,3799,2351,991,245,36,2915,1963,12813,9831,25460,39257,200,13945,4329,18558,32032,9727,6294,5349,4019,5022,9618,5550,2456,12672,12476,10327,10161,10193,610,8898,32032,15881,4797,1960,4489,707,5219,6285,934,991,9400,1668,664,4340,3766,93544,774,2670,2559,5180,822,6768,2427,1324,41885,21869,2640,1346,2839,1733,46416,10531,32032,1592,8300,1807,55278,774,93544,43624,8213,11902,4741,60781,32032,52685,11024,188,246,7017,26785,1609,266,427,148,61,5251,615,49,7162,690,10,945,706,278,129,72,56,114,67,1189,3677,16432,6016,8832,8549,969,105615,586,440,49,630,34939,630,17436,80636,80661,52118,12025,44465,52696,63.29,The Nationals
Calwell,13251,12326,11283,11578,12129,13254,13350,11956,10702,10877,10257,8423,6909,5806,4166,2845,1844,938,327,65,19,3929,1435,13121,10915,17336,44327,150,15771,6341,12005,36943,10109,6101,4179,2514,6608,12879,2798,1005,12498,9931,9119,9905,11068,1178,15127,36943,10443,4112,2572,220,720,5921,4173,676,2102,6915,2659,867,6567,102,98844,1342,2475,2727,3252,827,6768,6649,1993,39045,20776,1842,1900,3827,2793,47819,7492,36943,1508,3871,746,56081,1342,98844,42032,4996,8472,4648,65319,36943,59968,5523,116,138,7518,33311,936,18,245,162,48,10556,586,4,13863,953,0,2190,1452,225,114,259,87,328,182,1530,2706,7504,3444,6609,1967,4520,78854,5417,32259,33,5072,22238,610,13377,81220,81189,59001,6764,49886,46768,68.8,Australian Labor Party
Canberra,6172,6403,5978,8136,13249,12242,10483,8684,7968,8133,7647,7078,6159,5580,4162,3274,2464,1787,1005,224,29,16381,5669,28757,7588,7412,26228,86,3999,2479,9485,18692,8704,8137,8159,5801,4278,5627,12665,7386,5216,5606,6034,5546,6661,432,8661,18692,9011,4651,1588,282,1430,2367,7191,308,951,5920,1024,1246,878,64,61714,548,1709,7285,21827,824,3852,1053,497,42874,18574,2610,1151,1567,2196,31705,7599,18692,23988,5512,130,35009,548,61714,48260,4828,7860,2459,44714,18692,38023,9873,458,491,3622,16618,643,47,165,77,27,4695,370,11,3577,308,4,1020,562,136,94,117,75,160,59,1475,8976,14505,4355,4918,12198,3362,49331,2392,2533,468,898,54658,907,12373,62680,64096,37664,11053,39095,38827,67.08,Australian Labor Party
Canning,9135,9838,9150,8883,8056,8165,8811,8359,9243,9866,9891,9346,9004,9189,7136,5523,3456,1993,792,179,16,1748,1437,9635,10022,25604,43722,93,8605,3774,13264,28118,8532,5947,5232,4285,4910,8561,7300,3706,11623,9723,9109,7778,7854,692,11550,28118,11087,3503,1938,1246,881,7342,4824,732,900,6436,2147,448,4421,5369,85645,637,2458,2324,3218,1106,6417,2739,1306,36012,20429,2839,1093,4045,2137,43293,8052,28118,918,5007,1079,52730,637,85645,35063,6283,11176,4337,61040,28118,52817,11624,123,233,5776,23856,1640,183,307,122,55,5212,695,23,6877,882,11,973,743,247,81,76,45,121,78,1238,2535,11766,5746,6269,5677,1546,77868,780,638,80,998,49994,680,13434,72128,73890,52321,12475,37375,43853,61.55,Liberal
Capricornia,10365,10915,10216,9883,9223,9978,10593,9730,10046,10390,10670,10191,8610,7167,5226,3815,2727,1637,681,165,24,1878,1545,10137,7154,25833,42889,110,11235,2860,17112,31494,9245,6462,5683,4220,4943,8157,7419,3563,9937,9697,8659,8593,8966,640,9664,31494,14898,4482,2010,3154,560,4727,6159,1330,795,7543,1649,385,3770,8555,84794,695,2879,2234,3739,945,6275,3729,1816,43759,19593,2789,1305,3819,1913,35876,11683,31494,1308,7363,1550,56542,695,84794,41003,6076,10718,4531,58417,31494,48944,11970,94,194,6020,26274,1606,140,291,118,66,4559,575,20,6570,714,0,1122,728,240,99,70,60,150,80,1344,3412,12850,5757,8039,10133,1086,97036,737,601,25,609,35017,495,16629,77711,74524,48479,12726,38629,52421,62.35,Liberal National Party of Queensland
Casey,9118,9756,9544,9770,8932,8811,9088,9284,10512,10914,10775,10456,9228,8397,6006,3876,2442,1640,676,157,16,3306,2896,14424,12789,25497,38065,110,9910,3510,10345,28451,11249,7459,5970,3864,5821,8224,4996,2175,9913,10358,9861,10016,11220,569,9751,28451,9326,3917,2502,1682,1334,9843,6588,801,1559,8790,2909,1022,7001,162,74972,938,3478,4451,3430,1029,7575,2453,2731,44054,26119,2804,1335,1790,1758,36929,6034,28451,1614,6296,1051,64410,938,74972,39816,5564,10921,3862,60678,28451,55136,11581,191,228,6259,25000,1344,47,193,74,50,7417,767,12,9729,1147,12,1063,817,162,69,48,45,118,118,1368,2239,10737,4758,4690,3832,1465,68375,482,303,169,845,64353,1040,12257,73685,75596,54559,12542,42267,39999,54.64,Liberal
Chifley,13603,13525,12094,12551,12581,12499,13581,12280,11239,10790,10330,9522,7993,6851,4602,3137,2091,1214,643,119,5,5124,1047,17292,10415,17886,48324,172,13730,5487,12555,39229,12533,7600,5206,3235,5269,10149,3318,894,11907,10382,9337,11380,13215,982,16024,39229,10593,4149,2650,368,687,5573,3664,727,3647,9354,3186,1244,6423,107,100407,1453,2438,3162,4015,764,7612,6396,3227,47514,19386,1892,2050,3860,2815,46894,7610,39229,1770,6126,712,60773,1453,100407,47798,6517,8943,4970,63795,39229,58827,6982,147,200,9636,34382,1280,191,545,327,82,9732,712,24,14688,1183,19,2420,1941,478,204,290,143,605,253,2248,2713,8124,3702,6944,2237,2308,99866,11971,14172,37,4499,25037,533,12817,84508,86737,57756,8407,55408,49685,62.37,Labor
Chisholm,8551,9554,9738,11485,14827,12674,11178,10388,11312,11880,10733,9699,8179,7383,6296,5878,4796,3537,1572,317,32,13843,4563,33887,14016,11378,40147,45,9349,4754,10361,27866,10730,7524,6587,4970,7739,10271,8165,5080,10984,10347,9770,9403,9951,809,20558,27866,9257,5619,2746,213,1454,4187,7763,656,4096,9904,2488,1912,4265,123,94304,939,2647,8817,3375,1534,7797,2405,2869,44694,27834,2097,1172,2723,3495,53723,6515,27866,3621,6005,766,64441,939,94304,49453,8120,8744,2793,73293,27866,64905,6531,232,198,6400,25609,654,17,89,61,58,10814,518,5,8955,464,6,2094,1223,174,95,254,77,373,177,3349,9541,13734,3711,4512,5215,10957,72173,6811,2640,339,1655,61790,697,13078,82386,87812,64438,7432,58376,39891,50.57,Liberal
Clark,5390,5831,5610,6245,7703,7604,6872,6162,6577,6758,6800,6989,6246,5496,4128,3121,2344,1658,742,136,19,5705,2451,14742,6437,11771,26780,27,6767,2516,8312,16840,7332,4924,4093,2783,3717,6534,3622,1998,7436,8204,7414,6922,7232,228,6238,16840,6887,4371,1245,508,1177,2530,4996,825,1097,7380,1009,959,2170,33,56310,357,1506,3151,4903,517,4748,1471,749,26110,17676,1791,622,1719,1736,30528,5388,16840,2100,7706,528,35402,357,56310,34093,5238,8743,2822,34911,16840,30117,8660,231,252,4791,14409,796,69,65,43,17,3917,429,0,4010,394,4,880,301,99,12,67,0,37,36,1130,5567,13156,3911,3930,4520,1272,44417,1299,1283,35,662,43245,533,9475,49795,52738,29887,9454,35181,28007,72.12,Independent
Cook,8253,8467,8165,7904,7668,8368,8802,8958,9941,9929,9380,9068,7934,7289,5924,4641,3804,2982,1286,303,18,5390,2010,19228,12946,18318,33775,65,7490,5222,9728,24889,10217,7742,7113,5124,4514,6013,8032,5966,7601,8215,7957,8255,9228,437,9311,24889,8458,3997,2277,149,1241,7158,5655,572,3762,7752,2404,1240,3549,125,69929,805,2669,5891,4150,1764,6558,5023,2391,44278,21396,2219,1247,1432,1319,36509,5778,24889,1962,6699,773,58901,805,69929,35409,7094,9801,3169,58713,24889,53802,7887,142,174,5387,22648,708,38,97,37,21,7042,528,0,9068,721,0,1116,953,224,117,84,57,163,94,959,2912,12639,3342,4755,3351,2014,92404,919,1998,237,392,30663,433,10005,67496,71566,53260,8749,42057,34998,69.02,Liberal
Cooper,9604,8458,7198,7446,12068,15313,15379,12871,11995,11297,9398,8267,6611,5597,4544,4393,3751,2498,962,202,4,11380,4874,28465,11087,12724,33424,14,12717,4689,13366,25390,11111,8023,6896,4588,5446,10194,6989,4005,11882,10539,8883,9234,10446,593,11631,25390,12281,5729,2765,176,2077,4761,8461,597,3321,10071,2325,2108,4182,53,81762,940,2476,7833,4957,1019,7109,2849,2003,46303,26393,2286,1483,2873,2856,41090,9463,25390,4294,8050,1319,61880,940,81762,59177,7211,9234,3472,53809,25390,47458,12623,616,1150,5921,22704,573,0,96,28,23,6187,250,0,7947,244,0,2187,748,109,34,187,26,172,82,2439,11869,16469,4380,7625,5115,4497,66669,4060,6926,163,1710,57912,928,14956,76440,81597,46936,14820,55653,40656,64.65,Australian Labor Party
Corangamite,8355,8994,8507,8018,7300,6699,7807,8092,9054,8796,8537,8861,9010,8853,6664,4386,3165,2197,997,249,37,3701,2901,15809,11774,20950,31468,87,8534,2908,10476,25987,9181,6385,5368,3459,5194,7878,4318,2484,9704,9594,9692,8796,9106,471,8006,25987,9129,4720,1822,1822,1171,6911,6117,661,1510,8778,1635,714,3959,252,73227,614,2175,3475,3877,889,6612,2189,1502,33972,23600,2572,1076,1568,1599,37772,6298,25987,2278,6599,1458,50267,614,73227,32310,6133,8796,3343,57997,25987,50445,9274,94,314,4647,22961,1045,56,147,48,30,5533,593,7,5636,624,4,670,427,134,55,66,37,68,62,924,3326,11222,6044,4778,5260,1009,69025,448,453,63,473,50975,766,11226,65727,68840,50050,10096,34033,40355,51.07,Australian Labor Party
Corio,9046,8824,8599,9282,10295,10182,9782,8984,9807,9851,9843,9463,8567,7839,5805,4718,3452,2464,1203,270,32,4010,2773,15896,10870,20993,36562,130,13291,3541,13841,26371,9760,6348,5063,3484,5700,9569,4666,2516,11894,11973,9941,9580,9991,523,9217,26371,11617,4799,2061,631,1084,5879,6411,872,1990,10033,1801,791,5266,167,82630,878,2283,3585,4026,820,7786,3041,1494,38025,23925,2528,1221,2785,2047,43862,7599,26371,2634,7488,1203,53521,878,82630,44085,7869,11320,4250,54405,26371,48272,10099,215,217,7244,23152,1014,40,201,73,41,6483,606,7,7750,716,0,1305,618,228,126,80,53,114,112,1199,5042,16765,4845,5740,6094,1652,78637,1314,2176,77,1032,48832,755,13926,72039,76202,47894,10905,48338,41141,60.32,Australian Labor Party
Cowan,10598,10744,9992,10285,9725,10000,11372,10798,10612,10595,9655,8610,7136,6308,4256,3033,1963,1204,518,122,13,2581,1566,13730,10175,21380,44178,95,7950,4990,9559,31331,10717,7421,6103,4248,5514,8768,6110,2236,9079,8520,8319,8369,9595,773,12487,31331,7939,4104,2508,653,1069,8209,5237,779,1904,8152,2718,728,4702,2572,77845,843,3390,3670,4306,1056,7778,3238,2081,42415,23480,2456,1348,3851,2460,34566,5631,31331,1555,6710,869,59724,843,77845,39050,4799,9157,3607,59592,31331,54466,9244,129,177,6304,28010,1291,108,306,147,63,7960,700,21,9427,961,9,1668,1010,228,82,183,75,336,114,1671,3097,8754,3262,4430,3297,6327,76769,3234,6240,193,1386,41959,649,10786,73347,74189,53828,10191,42595,40918,50.83,Australian Labor Party
Cowper,8178,9726,9486,9129,7222,7382,7494,7583,9109,9764,10845,12083,11824,11953,9566,7260,5108,3504,1675,375,36,2628,1934,12997,11273,25861,39968,268,14583,4883,17525,27400,9003,5311,3875,2869,5244,10934,3150,1667,16631,15608,12588,11818,10608,552,7527,27400,14526,5726,2216,2102,785,5899,5534,962,975,10490,1364,538,2504,194,99674,739,2287,2534,3444,1003,7207,2132,1024,32292,23819,2281,1259,2884,1963,57333,10098,27400,1340,5867,1751,49949,739,99674,39660,10335,15803,5497,60636,27400,53245,11301,189,344,8249,23208,1363,159,469,165,42,5062,614,23,7098,760,10,1042,1004,340,145,75,64,120,121,1616,4563,18300,6096,7237,6282,1495,92961,423,503,131,983,46415,779,15637,77043,82279,52483,12593,49213,45032,56.79,The Nationals
Cunningham,8899,9413,8836,9885,12688,10577,9683,9468,10341,9953,10242,9837,8564,7718,6173,4983,3917,2690,1239,253,25,7441,2738,19369,11834,21861,36431,134,11761,5124,11538,27152,9763,6969,6245,4781,5894,10301,6931,3425,12591,12088,9765,8945,9089,540,11333,27152,9571,5190,2190,201,1094,5791,8913,636,2660,10042,1688,913,3731,1342,86938,690,2601,4354,5096,1017,6054,2855,1378,40463,24374,2473,1131,2417,2748,47532,7092,27152,4108,9246,1231,53168,690,86938,46583,7792,10907,3742,59198,27152,53520,9533,190,291,6668,24313,906,61,216,88,32,6990,592,8,8909,686,6,1290,805,289,153,51,51,129,114,1572,7237,14860,4841,5221,5744,2168,89494,1161,3421,99,580,45849,768,11847,76873,78513,52965,10570,50417,41425,63.41,Labor
Curtin,7402,8567,9087,9048,9932,10983,10473,9281,9464,9968,9100,8496,7663,6774,5502,4297,3226,2268,1195,329,27,12575,4436,35015,10691,8940,28586,27,3892,3045,10820,25063,8440,6832,6758,5351,5680,6042,10624,13964,5979,6936,6702,5857,6923,488,11534,25063,9924,4302,2041,450,1429,4574,7860,635,2605,10982,2285,959,2165,3902,73744,512,1896,9050,3714,1811,5400,1487,1271,41370,24914,2168,881,2211,2357,36168,7955,25063,2282,8671,509,57365,512,73744,43692,5807,9363,2588,56580,25063,49833,9706,252,221,4224,22585,613,13,39,46,21,7736,508,0,4825,330,3,1396,418,129,62,88,35,110,62,1251,6170,14975,3723,5925,7790,3018,70118,2489,1362,531,845,50649,608,13479,69526,73566,49581,10437,42318,40755,64.33,Liberal
Dawson,9534,10409,10003,9444,9687,10404,10449,9754,10516,11017,11084,10480,8973,7528,5484,3919,2634,1674,656,158,19,2000,1505,11236,8575,27061,43263,111,10653,3091,16397,29940,10259,7000,6205,4128,4820,7902,6420,3132,9963,9749,9724,9819,10451,660,9003,29940,14653,6259,2340,3718,665,5172,5579,753,1006,7811,2048,442,4370,5676,82545,830,3115,2912,4356,1159,7108,4015,1970,46340,20906,2644,1414,4086,2031,35683,10805,29940,1966,6986,1301,60197,830,82545,43062,6148,11193,4690,58801,29940,49658,12322,106,196,6063,25557,1564,120,307,76,57,4895,612,15,6450,695,6,1101,681,227,93,87,52,127,92,1354,4211,13575,5531,7056,10956,1321,95669,827,429,57,573,38355,593,15996,78044,75794,49169,13109,40304,51227,64.61,Liberal National Party of Queensland
Deakin,9990,9575,8818,9018,8913,9668,11311,10870,11112,10686,9926,9115,8352,7702,6271,4673,3540,2347,1095,281,34,7282,3820,22956,13407,18305,36966,76,9330,4182,8878,28301,11243,8134,6798,4752,6398,8548,6894,2975,9438,10492,9735,9465,10642,514,11299,28301,7837,4031,2686,244,1208,6771,7377,743,3153,9811,2438,1722,5734,110,78354,775,2923,6696,3945,1265,8035,2312,3056,45889,25757,2355,1152,2232,2130,40454,5231,28301,2492,7093,1031,63758,775,78354,39224,6899,10481,3370,65180,28301,59570,8350,167,219,6224,25969,849,26,97,51,18,8341,627,8,8817,766,4,1469,900,200,89,150,72,236,95,1373,3569,13336,3712,3733,4511,4217,75636,2620,1312,157,1605,56072,799,11027,74150,79283,59069,9252,46143,39037,54.78,Liberal
Dickson,10127,11605,11037,10392,9184,8502,9588,10349,11757,11772,10475,9468,7979,7492,5068,3023,1748,1165,497,148,15,3996,2721,16752,12668,23261,41142,66,6589,3367,8069,32775,11317,8217,7345,4664,5671,7716,6902,3457,8718,8461,8773,9491,10744,431,9808,32775,6936,4260,2466,331,1155,7330,7044,935,2483,10042,2265,1002,4445,784,75872,736,3204,5387,6539,1179,7671,4150,2169,47705,24215,2577,1071,2778,2110,33028,5188,32775,3318,9971,964,60598,736,75872,37219,4373,9664,3682,63740,32775,58954,10396,196,341,6053,29107,1668,76,206,88,51,7514,812,11,8464,923,3,1229,1078,202,81,79,52,159,108,1561,2683,8416,3752,3860,3238,1256,89924,1314,385,94,835,46238,808,10597,74755,76666,58424,11464,39477,42065,54.64,Liberal National Party of Queensland
Dobell,9409,10404,10138,9746,8923,8317,8859,8913,9798,10184,9984,9899,9181,8839,7068,5534,4063,3016,1418,343,37,2314,1431,10959,10946,26024,41151,173,12647,4441,14031,29956,10083,6344,5122,3403,5219,9022,4210,1895,12869,13101,10915,10563,10739,544,9068,29956,11016,5071,2272,469,939,7375,4747,779,1977,9773,2015,1103,4601,375,89113,724,2781,2959,4074,1057,7632,2591,1642,38559,22772,2405,1216,2854,2003,46285,8024,29956,1211,6808,1111,55101,724,89113,40312,8850,13452,5139,56362,29956,51394,10418,205,298,8356,25704,1642,279,386,117,61,6094,781,35,9412,1231,20,1233,1249,369,168,45,68,132,113,1786,3399,13844,4748,5606,4892,1288,96281,497,487,125,607,41897,574,12309,74439,79635,50645,11671,48319,43427,51.5,Labor
Dunkley,9958,9788,9090,9370,9274,9321,10135,9992,10842,11251,10507,9867,8485,7805,5976,4284,3023,2012,878,246,35,3253,2514,14346,12898,24042,39700,129,9875,3762,12732,28833,11299,7537,5857,3851,5587,8355,4744,2587,10011,10587,10033,10105,11424,550,9807,28833,10846,3894,2444,395,1235,8451,5802,825,1900,9614,2906,997,6890,173,80320,928,2738,4107,3368,1132,8273,2760,2809,43898,24093,2395,1242,2633,2066,39093,7710,28833,1482,6341,1051,61897,928,80320,43138,6579,13054,4541,55924,28833,50665,11640,195,262,7716,25198,1302,57,249,67,39,6672,802,16,9096,1108,13,1387,913,199,91,68,45,135,105,1441,3498,14347,4268,6399,3969,1817,72249,1478,913,257,869,60102,991,13394,74073,77974,50018,12784,47685,41489,52.74,Australian Labor Party
Durack,13213,13316,11058,9295,10185,14815,16166,14041,13731,13493,13063,11818,9387,6909,4658,3033,1939,1093,416,118,19,2062,1802,12294,9675,29887,48853,136,9750,4125,25587,37587,10359,7805,7467,6494,4372,9398,14161,9545,9293,7817,7676,7659,8825,863,9818,37587,22617,5239,2752,6941,787,7933,7014,1001,715,7166,2859,381,2293,13718,97541,847,3131,2814,5291,1158,5805,4789,1574,58595,19302,4463,1862,4045,1645,35925,18342,37587,1082,8991,2164,71135,847,97541,57715,4867,11773,5299,64525,37587,46219,17503,102,208,6142,29483,1779,218,877,595,134,3526,467,17,5781,736,10,1427,754,536,185,255,225,478,341,1504,3744,14355,8057,12123,23995,2036,90238,891,1500,68,1204,58741,927,26150,98703,83063,45570,18460,40474,77258,64.76,Liberal
Eden-Monaro,8180,9298,9151,8590,7100,7558,8177,8143,9739,10904,11073,11432,10533,9660,6804,4784,3180,2060,930,200,25,4749,2741,14562,10777,22277,36400,134,10335,3820,15107,26633,10279,7328,6303,4236,4707,7645,6812,3187,10503,10199,9472,9548,10163,471,7287,26633,12751,5574,2117,4208,1378,6364,5149,1064,854,7220,1837,763,3589,193,78663,762,2393,3792,11048,999,6133,2313,1123,43193,21400,2887,1398,1753,1308,39424,9553,26633,8542,6253,1435,51874,762,78663,37433,6982,11875,4070,60539,26633,52288,11721,206,289,5365,22690,1333,114,282,81,34,5073,646,24,6400,706,16,862,639,193,89,48,39,98,73,959,2746,15201,6013,7283,6035,1242,83688,806,806,112,975,44356,717,14819,73772,73763,51725,12778,39163,43860,50.85,Labor
Fadden,10459,10797,9922,10246,10690,10375,10624,10623,11444,11541,10788,9898,8834,8958,7141,4833,3026,1898,869,236,19,3866,1702,14399,13304,25498,46090,86,7855,4582,14680,31196,11752,7455,6051,3735,4997,8726,5274,3175,11436,11113,10996,11236,11905,654,11034,31196,12558,6040,3193,382,2090,8805,5683,486,1872,9177,2946,1112,4868,582,88885,893,2977,4255,3161,2122,8636,3129,1968,45763,25110,2141,1323,3403,2613,41720,9964,31196,1566,5631,862,65392,893,88885,43923,6324,13924,5068,62754,31196,55810,13442,216,282,7541,26556,1673,90,227,121,64,6200,810,6,8068,1026,9,1426,1150,239,96,119,68,207,122,2284,5596,12058,4269,8805,4646,2175,88415,988,2074,274,860,51587,769,16085,79086,84131,55187,14587,47011,46443,64.18,Liberal National Party of Queensland
Fairfax,8156,9700,9424,8580,7656,7594,8469,8728,10213,10596,10442,10079,9493,9161,7063,5017,3534,2227,1053,267,33,3507,2463,15622,12556,24472,38875,79,7265,3788,11616,27286,9970,6465,5404,3366,5025,8499,4355,2686,11112,11763,11049,10766,10548,506,8332,27286,10399,5592,2629,952,1175,7706,6028,597,1809,10411,2179,806,3110,903,81490,745,2619,3905,2699,1515,7081,2198,1440,37397,25364,2209,1067,2750,2264,41630,7555,27286,1251,6173,849,56999,745,81490,36056,6738,13224,4137,60103,27286,53446,11211,195,237,6157,23975,1315,40,187,56,53,5163,598,4,6302,762,11,1047,915,170,81,46,38,112,92,1846,5011,12751,5138,5711,4869,1736,78986,539,373,167,692,51621,799,12602,70955,76554,52923,12176,41094,41325,63.44,Liberal National Party of Queensland
Farrer,10129,10681,10579,10147,9017,9139,9193,8720,9756,10368,10825,11611,10770,10124,7897,6200,4393,2844,1216,323,39,2071,1771,11544,9498,25016,43171,191,16245,4242,18830,31391,10895,6665,4920,3206,5113,9517,3643,1965,13132,12671,11787,11701,12468,707,8261,31391,15932,5138,1972,9133,599,5522,5817,905,1063,8396,2013,497,7574,239,92475,942,2661,2415,4086,673,7130,3065,1650,43839,23204,2840,1616,2556,1581,45038,11911,31391,1521,6273,1902,60867,942,92475,41534,9237,11276,4652,65892,31391,56226,10924,100,180,6386,26251,1356,192,422,135,46,5095,500,21,7193,649,11,973,591,279,118,76,58,103,78,1006,3984,17604,6908,9495,7007,959,103730,1539,922,49,1609,38148,491,16527,81183,82797,55753,11679,44730,51823,60.94,Liberal
