Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"1121513",28,30,36,42,38,37,37,22,25,27,38,49,28,28,16,3,0,0,0,0,0,468,
"1121514",17,17,24,26,14,26,16,10,23,22,17,16,11,16,4,3,0,0,0,0,0,258,
"1121515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1121516",19,22,33,40,21,35,17,18,35,38,32,28,27,36,23,23,6,7,0,0,0,470,
"1121517",18,24,15,20,17,15,17,3,11,16,14,20,12,18,16,23,43,40,13,0,0,352,
"1121518",16,13,19,17,32,20,19,12,16,19,31,27,27,24,30,33,32,40,28,13,0,471,
"1121519",22,20,15,25,22,23,17,9,26,15,34,37,25,26,22,19,11,9,0,0,0,373,
"1121520",18,10,17,15,16,19,13,20,12,18,25,25,11,18,20,9,0,7,4,0,0,273,
"1121521",3,0,3,7,3,4,0,0,0,0,9,11,0,4,3,5,0,0,0,0,0,57,
"1121522",42,44,28,37,28,40,28,22,35,34,41,35,31,22,16,9,19,0,3,0,0,506,
"1121523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1121524",18,21,25,39,18,26,23,27,31,26,30,28,18,39,16,15,10,6,0,0,0,415,
"1121525",10,15,20,17,21,20,4,19,17,22,17,26,31,35,25,18,10,0,0,0,0,324,
"1121601",16,19,24,22,16,24,26,19,19,22,22,30,28,30,22,22,5,9,0,0,0,368,
"1121602",27,23,14,27,24,23,23,11,28,20,32,27,38,33,8,15,5,8,0,0,0,384,
"1121603",37,39,42,59,36,41,28,32,60,56,51,61,50,35,33,31,16,9,0,0,0,728,
"1121604",18,24,30,24,17,16,14,16,17,29,26,17,28,30,43,31,16,11,3,0,0,426,
"1121605",19,20,22,18,19,15,6,16,26,17,21,22,20,27,16,12,9,6,4,5,0,298,
"1121606",40,34,57,37,41,32,38,38,32,42,34,32,39,30,35,17,15,8,0,0,0,599,
"1121607",39,32,39,34,21,17,37,33,23,39,61,55,47,40,42,32,27,13,0,0,0,641,
"1121608",88,78,75,58,64,82,83,61,61,56,32,36,45,41,38,30,19,8,3,0,0,957,
"1121609",22,20,21,28,29,15,20,21,37,32,33,46,38,40,36,16,13,11,0,0,0,496,
"1121610",20,30,37,19,16,19,25,19,27,20,29,26,35,22,33,17,11,7,0,0,0,413,
"1121611",17,17,29,23,14,12,16,13,18,25,19,16,16,29,21,15,3,6,5,0,0,318,
"1121612",50,60,52,32,31,42,38,38,34,36,49,51,59,64,51,27,12,4,0,0,0,730,
"1121613",22,25,29,33,18,24,16,22,24,22,14,27,23,20,20,9,7,4,0,0,0,357,
"1121614",20,33,28,15,28,17,26,23,13,24,25,22,13,20,12,16,7,10,0,0,0,356,
"1121615",27,40,20,35,52,27,29,27,29,41,42,31,33,25,22,34,15,6,0,0,0,531,
"1121616",22,20,27,19,13,21,24,14,19,28,29,39,27,37,33,24,16,9,5,0,0,423,
"1121617",21,22,29,49,42,24,28,23,39,42,42,52,73,61,69,52,32,17,4,0,0,705,
"1121701",0,0,0,0,0,0,0,0,0,0,3,3,7,9,26,48,85,80,52,14,0,329,
"1121702",18,30,28,30,14,14,23,18,27,26,38,23,11,20,10,3,0,0,0,0,0,337,
"1121703",30,14,6,21,28,15,17,20,21,8,8,4,22,27,10,4,0,0,0,0,0,259,
"1121704",29,22,26,30,22,31,40,18,28,26,35,42,38,21,11,9,0,0,0,0,0,418,
"1121705",38,22,18,20,45,42,33,26,37,34,35,30,19,24,13,12,7,4,5,0,0,481,
"1121706",38,28,38,16,25,34,33,23,20,27,24,23,15,26,20,11,10,6,0,0,0,407,
"1121707",26,21,19,14,23,16,22,14,12,20,34,24,31,25,13,12,6,0,5,0,0,348,
"1121708",27,19,22,17,21,21,28,31,23,11,24,23,11,15,17,9,12,4,0,0,0,335,
"1121709",14,20,20,24,22,17,16,22,21,19,26,30,30,15,4,11,3,0,0,0,0,319,
"1121710",11,7,8,14,15,12,16,13,6,6,18,21,12,24,11,14,13,6,0,0,0,229,
"1121711",62,32,44,40,33,33,55,43,47,42,26,32,36,45,17,13,3,0,0,0,0,612,
"1121712",19,34,35,20,21,17,35,31,20,32,17,22,19,20,12,9,7,3,0,0,0,370,
"1121713",36,26,27,16,34,29,28,34,21,20,16,17,12,11,21,11,3,3,0,0,0,382,
"1121714",15,31,33,42,27,19,19,21,21,44,41,22,15,17,27,9,0,4,0,0,0,408,
"1121716",110,78,58,32,31,50,105,90,61,48,22,15,17,9,8,0,4,0,0,0,0,742,
"1121718",5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"1121719",26,22,20,23,17,27,28,25,18,15,16,25,29,23,9,12,11,5,0,0,0,347,
"1121720",5,18,10,11,14,8,13,6,11,18,15,19,8,17,10,3,0,0,5,0,0,187,
"1121721",32,35,30,31,46,34,31,34,44,37,30,30,24,48,37,16,9,9,0,0,0,555,
"1121722",37,52,44,45,34,24,39,30,35,34,34,28,30,11,19,3,8,5,0,0,0,518,
"1121723",40,45,34,29,26,32,46,26,44,25,36,30,57,29,14,5,15,3,0,0,0,531,
"1121724",31,32,41,39,20,22,22,35,44,34,24,23,20,13,13,5,0,0,0,0,0,419,
"1121725",66,79,66,52,18,32,54,101,71,38,34,31,37,27,15,25,25,24,25,14,0,823,
"1121726",63,61,30,25,21,44,67,33,28,17,10,14,5,11,4,0,0,0,0,0,0,437,
"1121727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"1121729",13,41,45,43,20,16,15,30,36,55,32,18,25,16,20,7,5,0,0,0,0,455,
"1121730",12,18,31,29,29,14,12,23,31,18,33,22,22,27,11,7,3,5,0,0,0,347,
"1121731",28,30,24,39,19,13,16,36,38,49,29,31,30,31,15,13,3,0,0,0,0,453,
"1121732",53,58,80,43,31,28,53,50,77,47,31,23,14,17,5,3,3,0,0,0,0,635,
"1121733",75,47,37,25,23,39,62,57,48,21,21,13,17,3,8,0,3,3,0,0,0,501,
"1121734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1121735",221,119,80,70,108,203,228,174,101,65,53,35,25,18,7,6,0,0,0,0,0,1514,
"1121736",54,61,46,30,30,23,52,42,50,18,30,29,16,14,10,0,0,0,0,0,0,496,
"1121801",25,29,59,45,22,17,14,30,41,34,28,28,27,24,13,9,9,6,0,0,0,456,
"1121802",17,7,14,14,26,17,9,10,18,22,19,23,22,30,22,20,17,20,11,4,0,333,
"1121803",17,19,18,28,14,8,17,19,20,34,31,20,22,22,23,9,7,3,0,0,0,341,
"1121804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
"1121805",19,13,22,18,20,17,8,18,22,21,18,16,23,10,18,5,3,0,0,0,0,284,
"1121806",13,12,8,11,9,13,16,9,11,9,7,8,0,6,4,0,0,0,0,0,0,131,
"1121807",9,13,7,9,7,10,7,15,10,3,19,22,15,15,3,6,7,0,0,0,0,167,
"1121808",36,32,22,13,24,33,30,23,35,16,17,25,14,20,12,15,0,5,0,0,0,382,
"1121809",12,17,15,22,24,16,10,16,19,28,27,22,12,25,28,17,19,16,0,0,0,339,
"1121810",3,16,14,22,17,8,12,16,15,21,22,29,15,19,17,9,6,4,3,0,0,250,
"1121811",31,29,30,30,25,29,28,23,18,37,27,23,27,32,18,7,7,3,3,0,0,430,
"1121812",28,42,51,43,36,13,26,31,45,46,37,47,72,79,48,48,30,4,0,0,0,743,
"1121813",15,22,15,16,16,13,21,10,19,16,18,19,16,16,6,0,0,0,0,0,0,231,
"1121814",36,47,37,35,46,34,24,40,31,35,39,30,29,31,22,9,21,4,0,0,0,553,
"1121815",13,17,26,21,20,11,14,14,22,21,25,19,23,15,9,13,8,0,0,0,0,274,
"1121816",17,36,39,26,34,20,19,23,38,41,32,29,18,19,24,11,7,0,0,0,0,431,
"1121817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1121818",36,38,35,40,42,46,38,39,33,30,18,39,31,38,27,32,16,12,6,0,0,584,
"1121819",12,16,14,9,11,18,14,27,12,12,25,26,24,18,20,11,11,0,0,0,0,284,
"1121820",7,7,4,10,7,13,4,6,8,10,12,24,19,25,26,25,7,0,5,0,0,213,
"1121821",16,20,18,14,6,11,9,6,19,18,13,24,8,38,26,10,8,0,0,0,0,279,
"1121822",28,30,18,29,18,34,30,15,24,31,33,50,51,38,42,36,23,9,6,0,0,552,
"1121823",18,14,12,19,18,22,20,16,12,15,33,21,25,13,21,15,19,4,0,0,0,327,
"1121824",10,12,16,14,12,5,6,4,11,15,6,6,10,6,7,7,0,0,0,0,0,148,
"1121825",18,17,18,27,18,13,10,19,16,26,21,34,54,31,23,9,11,5,6,0,0,375,
"1121826",12,8,16,21,20,23,16,8,13,37,24,27,25,27,16,20,11,0,0,0,0,325,
"1121827",0,8,9,13,11,9,9,8,4,13,11,14,21,29,37,35,34,28,10,0,0,314,
"1121828",21,18,22,28,18,9,23,13,19,23,15,29,30,18,15,6,7,5,0,0,0,328,
"1121829",21,8,4,12,12,21,23,13,12,8,24,27,27,11,15,4,9,4,0,0,0,265,
"1121830",0,0,0,0,0,0,0,0,0,0,0,4,6,11,44,87,89,74,32,0,0,358,
"1121831",3,8,13,17,10,14,4,4,8,13,15,26,29,41,64,59,71,52,21,11,0,465,
"1121832",28,30,3,42,64,18,22,13,15,9,8,10,17,13,34,46,55,56,54,10,0,548,
"1121833",20,15,9,19,24,15,13,12,22,11,20,19,19,21,18,6,0,0,0,0,0,262,
"1121834",35,39,34,61,30,32,32,25,50,36,48,38,28,26,33,14,7,5,0,0,0,567,
"1121835",18,13,18,26,50,22,33,25,28,41,44,30,33,33,32,15,15,11,4,0,0,485,
"1121836",22,18,11,31,20,21,13,17,14,19,23,24,18,18,12,13,11,4,4,0,0,308,
"1121837",54,44,34,34,41,41,41,37,23,45,41,36,46,22,23,20,13,0,3,0,0,599,
"1121838",6,11,3,9,5,7,9,3,10,4,9,7,15,6,9,7,17,27,19,11,0,205,
"1121839",15,34,24,11,15,7,29,22,16,17,22,21,20,22,7,0,6,5,0,0,0,282,
"1121840",40,28,30,33,28,35,24,27,27,28,39,35,15,13,12,4,0,0,0,0,0,435,
"1121841",5,6,10,23,23,14,10,14,12,31,42,40,32,27,12,17,12,0,0,0,0,327,
"1121842",22,30,26,16,25,23,18,28,25,29,21,22,24,25,32,58,52,51,19,15,0,558,
"1121843",4,9,21,19,26,6,8,8,17,16,13,19,7,9,3,10,7,0,0,0,0,206,
"1121901",11,16,12,18,19,9,10,8,12,19,18,14,31,18,23,26,12,12,3,0,0,293,
"1121902",19,15,15,22,19,24,18,16,26,16,12,31,28,34,26,17,9,10,8,3,0,352,
"1121903",19,13,20,15,17,12,12,17,17,17,21,34,21,27,37,23,23,42,33,9,0,421,
"1121904",26,26,30,24,26,34,37,20,15,25,23,25,21,24,14,13,5,3,0,0,0,391,
"1121905",8,18,25,12,9,5,9,8,23,14,10,7,17,17,10,10,4,7,0,0,0,204,
"1121906",3,5,12,11,8,15,3,8,11,6,21,14,13,17,17,4,3,7,4,0,0,190,
"1121907",8,11,9,16,11,14,6,11,10,15,10,18,13,25,16,9,6,4,6,0,0,222,
"1121908",26,17,39,28,21,13,20,15,32,37,33,40,35,30,22,13,7,5,0,0,0,438,
"1121909",16,23,39,26,17,11,11,8,34,22,30,21,37,17,10,12,3,0,0,0,0,337,
"1121910",15,18,18,32,26,40,23,31,33,32,30,37,63,75,56,48,43,30,7,3,0,641,
"1121911",29,20,26,20,15,14,19,11,23,24,13,37,31,31,13,16,12,14,0,0,0,377,
"1121912",6,6,17,22,19,9,13,10,16,13,13,4,15,18,10,4,3,4,3,0,0,208,
"1121913",3,10,13,17,10,12,8,12,19,22,24,27,36,25,29,6,15,7,4,4,0,297,
"1121914",16,20,25,28,32,14,23,21,24,39,36,30,35,29,35,17,7,4,0,0,0,437,
"1121915",18,11,9,5,12,12,18,11,8,13,19,10,14,16,11,5,9,0,0,0,0,218,
"1121916",18,10,14,12,17,27,20,16,9,26,15,26,20,18,33,23,42,67,43,10,0,460,
"1121917",20,19,34,41,38,29,20,27,39,33,39,48,28,33,29,27,13,11,3,0,0,518,
"1121918",15,32,22,25,24,20,18,18,19,23,19,25,32,39,30,25,5,13,3,0,0,409,
"1121919",3,4,5,14,4,3,4,5,8,18,22,17,31,24,36,13,5,3,6,0,0,230,
"1121921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"1121922",0,0,6,5,13,4,3,0,5,3,12,10,4,3,0,9,3,0,0,0,0,78,
"1121923",31,14,25,33,32,15,21,18,27,40,32,45,37,38,33,21,16,5,3,0,0,475,
"1121924",18,11,15,27,9,23,13,11,10,22,29,29,26,22,9,4,3,0,0,0,0,276,
"1121925",27,25,27,23,17,23,18,17,26,29,26,29,15,20,8,3,4,0,7,0,0,348,
"1121926",30,30,17,28,21,22,27,15,26,23,25,19,23,14,21,14,3,0,4,0,0,350,
"1121927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1121929",15,17,19,25,22,13,15,15,21,22,18,17,27,24,15,8,9,0,0,0,0,297,
"1121930",19,35,49,40,34,20,22,31,32,31,20,37,28,30,26,9,12,0,0,0,0,472,
"1121931",34,31,26,30,35,29,16,30,21,35,29,20,21,23,29,15,5,3,0,0,0,430,
"1121933",10,13,15,12,7,9,18,13,12,21,13,36,18,23,21,22,10,0,3,0,0,280,
"1121934",18,16,10,16,8,9,16,15,24,10,10,23,25,33,36,34,32,39,33,3,0,418,
"1121935",20,25,30,12,23,24,16,27,39,30,29,29,42,50,35,22,16,4,4,0,0,475,
"1121936",31,38,26,21,18,26,17,27,34,19,17,19,37,18,23,24,7,3,4,0,0,409,
"1121937",20,15,13,21,17,23,15,10,23,25,23,24,27,24,22,10,5,0,3,0,0,325,
"1121938",49,36,41,36,27,32,55,39,34,29,38,32,39,34,21,10,10,3,4,0,0,573,
"1121939",14,13,10,10,12,7,5,10,13,11,14,20,32,14,9,13,6,10,3,0,0,227,
"1121940",12,12,10,19,25,15,14,21,14,9,29,16,27,20,20,14,3,0,0,0,0,275,
"1121941",19,23,20,22,18,15,15,16,35,23,21,25,13,15,15,3,3,0,0,0,0,304,
"1121942",8,10,10,15,19,16,4,3,6,9,30,15,22,14,6,12,5,4,4,0,0,217,
"1121943",0,0,0,0,0,0,5,0,0,0,4,6,8,28,28,23,10,7,0,0,0,118,
"1121944",34,25,19,23,36,14,12,22,36,23,34,33,40,34,11,21,13,3,5,0,0,439,
"1122001",22,23,38,26,13,17,17,29,35,29,23,44,24,40,24,17,0,6,5,0,0,416,
"1122002",16,15,29,28,18,12,19,17,29,22,18,19,36,28,13,7,5,3,0,0,0,329,
"1122003",10,11,29,19,23,9,17,7,29,19,31,27,40,58,24,9,5,4,4,0,0,378,
"1122004",23,20,26,25,27,19,31,13,29,31,24,35,50,35,19,13,7,4,0,0,0,437,
"1122005",25,28,29,32,28,20,17,18,27,28,42,39,50,39,41,21,4,6,0,0,0,497,
"1122006",24,37,25,27,31,27,22,24,19,26,36,32,37,47,37,24,8,8,0,0,0,497,
"1122007",24,20,32,39,19,23,21,30,32,16,31,36,30,35,27,13,13,5,0,0,0,447,
"1122009",32,25,28,23,21,28,27,40,21,41,24,34,35,46,31,20,30,5,4,0,0,501,
"1122010",37,35,31,23,28,17,23,29,27,40,30,41,32,36,26,11,17,6,0,0,0,493,
"1122011",43,29,41,41,28,34,32,41,39,30,41,46,46,48,35,19,11,7,7,0,0,620,
"1122012",32,29,22,24,12,17,15,22,30,27,25,25,22,24,20,6,7,0,0,0,0,370,
"1122013",32,16,32,35,25,29,25,37,27,39,42,50,39,26,20,24,14,5,0,0,0,517,
"1122014",5,4,13,11,13,17,7,11,11,19,23,34,49,36,30,26,11,6,0,0,0,330,
"1122015",16,12,18,15,19,12,11,9,31,12,20,17,35,28,17,12,6,0,0,0,0,295,
"1122016",30,33,32,38,31,34,28,23,35,31,41,34,21,29,11,6,5,6,0,0,0,481,
"1122017",18,32,28,22,13,12,13,27,28,22,27,34,43,48,23,10,8,0,0,0,0,391,
"1122018",11,10,11,10,15,10,6,8,18,18,22,31,30,38,31,17,7,8,0,0,0,307,
"1122019",11,13,12,10,7,6,12,7,21,17,20,30,33,31,22,11,7,3,0,0,0,283,
"1122020",26,29,44,20,25,27,34,31,22,41,43,59,51,58,55,28,17,15,0,0,0,617,
"1122021",26,21,23,33,25,20,28,17,29,28,43,55,53,64,66,52,21,17,10,0,0,656,
"1122022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1122023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1122024",5,0,0,0,4,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,32,
"1122101",15,21,18,32,33,14,21,14,22,27,44,31,28,22,13,13,0,0,3,0,0,354,
"1122102",6,10,12,14,10,7,9,10,18,7,20,19,16,12,3,0,0,0,0,0,0,173,
"1122103",31,23,26,15,10,18,18,24,19,18,27,16,14,19,8,0,0,0,0,0,0,298,
"1122104",40,28,28,19,22,39,39,31,17,11,22,16,27,14,3,5,0,0,0,0,0,358,
"1122105",9,17,9,16,14,10,20,21,19,22,8,20,16,8,8,3,4,0,0,0,0,227,
"1122106",48,26,28,34,22,37,35,31,26,27,31,29,30,27,15,8,4,0,3,0,0,459,
"1122107",16,8,12,28,24,18,23,8,18,30,21,39,16,20,7,3,0,5,0,0,0,302,
"1122108",41,38,26,33,30,58,60,28,20,30,20,16,35,69,62,31,19,3,0,0,0,633,
"1122109",15,20,16,19,12,12,17,15,15,14,16,20,18,5,4,0,0,0,0,0,0,223,
"1122110",19,19,20,25,18,22,25,21,20,19,25,39,19,10,0,5,5,6,0,0,0,329,
"1122111",26,25,26,34,25,16,11,25,20,36,24,31,34,10,3,0,0,0,0,0,0,349,
"1122112",31,30,33,30,28,32,22,30,30,24,33,34,33,47,15,4,0,6,0,0,0,457,
"1122113",25,29,27,19,9,18,19,22,22,29,18,21,13,22,10,5,18,0,0,0,0,327,
"1122114",14,25,30,11,21,22,26,17,25,22,19,26,28,17,12,7,4,0,0,0,0,318,
"1122115",44,29,30,50,18,19,26,31,37,32,29,29,23,13,15,13,9,3,0,0,0,451,
"1122116",13,15,5,15,8,16,15,19,12,19,14,20,15,12,4,10,0,3,0,0,0,229,
"1122117",23,26,22,19,17,26,22,24,21,25,29,18,23,10,3,9,0,0,0,0,0,320,
"1122118",11,13,15,19,13,13,12,11,20,14,19,13,15,15,11,0,0,0,0,0,0,231,
"1122119",18,18,13,13,15,26,17,21,11,13,14,13,17,10,0,0,8,0,0,0,0,241,
"1122120",11,16,8,13,10,6,12,13,7,12,13,25,12,12,4,6,7,8,3,0,0,194,
"1122201",15,20,38,20,20,27,22,24,34,29,17,29,19,10,8,5,7,9,0,0,0,358,
"1122202",17,17,15,25,31,16,21,22,17,25,19,29,15,14,19,16,14,17,0,0,0,346,
"1122203",35,19,24,24,26,37,37,33,34,36,25,29,28,36,16,11,9,7,0,0,0,475,
"1122204",37,45,43,27,22,11,31,43,40,44,30,23,26,21,27,30,22,9,12,0,0,545,
"1122205",24,28,28,22,22,11,18,22,29,25,26,27,28,10,30,27,9,3,4,0,0,396,
"1122206",26,29,24,23,25,22,16,24,28,40,29,28,21,33,53,23,22,17,0,0,0,476,
"1122207",36,35,45,40,31,31,21,38,38,30,52,29,27,37,30,29,21,14,4,0,0,594,
"1122208",38,30,18,27,40,53,39,48,31,21,24,28,14,16,14,13,14,10,0,0,0,485,
"1122209",28,33,37,28,14,5,15,31,39,32,21,7,13,4,4,0,3,0,0,0,0,313,
"1122210",24,41,33,25,58,47,46,39,35,46,29,33,24,13,11,9,11,4,0,0,0,529,
"1122211",22,21,26,32,26,23,12,11,20,35,24,24,19,11,10,7,0,10,0,0,0,347,
"1122212",24,39,31,32,41,35,30,25,26,36,24,34,42,25,20,16,12,5,3,0,0,498,
"1122213",13,11,12,18,11,9,17,17,15,24,10,20,11,9,7,8,0,3,0,0,0,235,
"1122214",20,21,10,19,29,30,37,39,21,27,24,15,18,20,16,14,8,6,3,0,0,367,
"1122215",21,41,20,26,12,30,24,29,42,26,25,12,9,7,15,5,5,0,3,0,0,354,
"1122216",25,33,47,28,32,25,28,37,40,32,35,23,17,16,11,12,19,16,9,0,0,476,
"1122217",36,38,29,31,43,32,37,39,31,47,39,41,33,23,17,13,8,10,6,0,0,545,
"1122218",37,27,27,25,40,55,44,34,41,24,27,22,17,15,9,10,3,7,3,0,0,473,
"1122219",21,21,19,20,31,40,42,29,27,25,32,21,14,10,13,8,3,3,0,0,0,388,
"1122220",28,38,29,34,56,42,39,35,43,41,37,30,27,25,13,10,4,4,0,0,0,537,
"1122221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1122222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"1122223",48,52,45,36,32,30,29,44,52,34,31,42,25,26,25,22,27,10,3,0,0,611,
"1122224",26,26,35,35,24,13,19,20,36,29,29,15,21,22,19,43,22,17,4,0,0,460,
"1122225",41,42,27,27,26,22,42,38,34,27,21,13,18,10,12,35,18,10,3,0,0,472,
"1122226",13,28,37,26,28,20,28,26,19,34,27,24,28,29,11,18,13,7,6,0,0,418,
"1122227",25,50,31,27,20,12,11,27,35,34,31,32,34,42,34,21,15,3,3,0,0,501,
"1122228",33,44,22,17,6,14,24,32,29,29,22,17,26,16,18,14,11,7,4,0,0,391,
"1122229",34,37,19,16,13,36,19,34,26,26,20,33,14,11,22,18,8,8,5,0,0,404,
"1122230",34,40,33,25,16,17,26,24,28,29,18,5,13,9,17,18,19,15,0,0,0,397,
"1122231",28,17,20,18,13,18,21,18,23,28,27,18,18,4,13,11,11,5,5,0,0,301,
"1122232",34,36,24,20,26,16,29,37,34,29,23,33,17,16,21,7,8,11,0,0,0,423,
"1122233",22,24,26,10,20,15,15,24,29,11,10,28,33,30,33,5,7,9,3,0,0,360,
"1122234",29,21,16,20,16,23,18,28,24,26,26,12,12,23,13,0,7,3,0,0,0,318,
"1122235",53,47,44,39,31,35,47,54,35,44,28,24,22,22,24,27,16,4,0,0,0,598,
"1122236",18,23,24,23,18,18,19,25,22,31,19,14,13,12,10,7,6,3,0,0,0,294,
"1122237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1122238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1122239",18,20,8,15,49,63,53,19,20,21,41,24,21,8,18,10,11,0,0,0,0,422,
"1122240",25,28,36,42,28,15,37,27,30,42,46,40,19,26,15,12,3,6,4,0,0,488,
"1122301",18,13,16,13,9,11,15,18,11,18,18,16,7,10,8,11,0,0,0,0,0,213,
"1122302",30,47,25,23,17,34,37,23,26,17,22,24,14,22,7,20,13,10,0,0,0,413,
"1122303",36,31,26,23,26,44,45,31,23,30,51,38,35,24,15,21,15,13,9,0,0,541,
"1122304",16,15,12,17,17,26,13,27,16,19,21,15,22,33,31,17,3,3,0,0,0,321,
"1122306",23,18,24,20,31,36,19,19,17,34,25,19,26,34,42,32,3,4,0,0,0,423,
"1122307",32,26,13,24,18,28,19,22,24,28,17,19,14,31,37,42,16,0,0,0,0,419,
"1122308",31,25,23,14,23,18,17,17,38,32,23,22,21,19,11,4,4,0,0,0,0,330,
"1122309",0,0,0,0,0,0,0,7,0,0,8,0,0,3,3,3,0,0,0,0,0,29,
"1122310",31,34,28,22,43,44,36,26,20,30,32,26,30,28,12,24,11,10,3,0,0,481,
"1122311",29,33,24,30,50,63,39,32,25,21,31,28,27,24,24,17,19,19,4,3,0,541,
"1122312",33,30,24,39,18,28,28,26,26,27,19,24,33,25,18,11,12,4,0,0,0,428,
"1122313",21,24,18,26,22,31,32,22,22,16,35,33,38,52,57,52,25,17,10,6,0,541,
"1122314",11,21,26,35,8,14,10,11,34,25,25,29,35,32,15,11,3,0,0,0,0,357,
"1122315",6,10,25,18,16,10,20,4,24,26,37,22,13,13,18,4,5,0,0,0,0,289,
"1122316",7,9,11,13,12,8,6,7,12,13,16,11,15,12,6,5,7,3,0,0,0,190,
"1122317",39,38,41,22,26,28,32,21,27,32,26,31,22,10,8,0,3,0,0,0,0,405,
"1122318",29,13,12,14,15,20,29,17,10,6,15,25,23,22,24,7,10,3,0,0,0,314,
"1122319",29,17,20,24,13,34,20,13,16,12,29,23,11,24,21,12,0,5,0,0,0,331,
"1122320",17,24,16,26,17,21,17,25,25,23,34,33,48,38,20,9,3,3,0,0,0,392,
"1122321",20,33,25,26,22,8,15,13,18,22,13,9,8,8,12,10,0,0,0,0,0,272,
"1122322",33,36,26,30,41,44,17,20,47,28,42,31,18,15,11,10,4,7,0,0,0,461,
"1122323",21,21,19,28,34,21,13,15,25,26,20,13,21,17,14,6,7,4,0,0,0,326,
"1122324",17,11,16,20,18,19,9,11,14,16,15,18,21,27,10,8,5,0,0,0,0,251,
"1122325",0,4,6,3,7,9,9,0,11,6,3,12,12,4,5,13,0,0,0,0,0,94,
"1122401",33,41,26,21,24,30,21,34,37,27,39,37,24,15,22,10,29,14,7,0,0,496,
"1122402",24,29,25,26,36,19,20,29,25,32,34,19,26,19,12,5,5,5,4,0,0,382,
"1122403",14,10,11,14,15,19,16,15,25,50,53,40,49,39,35,22,9,8,0,0,0,455,
"1122404",19,13,25,24,32,36,23,24,28,26,49,29,25,22,21,14,20,5,6,0,0,453,
"1122405",13,12,14,15,29,17,19,29,27,22,27,26,13,22,21,20,5,0,0,0,0,333,
"1122406",17,27,26,8,22,20,20,21,12,16,16,12,8,15,0,0,0,0,0,0,0,234,
"1122407",7,0,4,13,68,60,39,18,22,17,22,15,23,12,8,9,0,0,0,0,0,340,
"1122408",16,13,6,10,12,23,16,20,13,11,14,14,11,8,5,5,5,6,6,0,0,208,
"1122409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1122410",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,
"1122411",18,13,18,16,22,26,31,18,9,29,22,18,10,17,11,6,5,0,0,0,0,309,
"1122412",41,20,34,28,30,34,62,36,35,50,34,27,27,17,18,11,3,3,4,0,0,518,
"1122413",18,36,23,23,49,44,36,39,28,25,16,33,28,14,15,4,4,6,0,0,0,444,
"1122414",21,30,25,22,28,35,35,35,25,24,20,20,19,14,17,5,4,0,0,0,0,379,
"1122415",24,23,11,22,25,24,38,35,23,25,22,18,25,16,5,6,6,0,0,0,0,351,
"1122416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"1122417",15,4,9,4,24,21,30,21,14,9,12,13,9,6,6,8,4,4,0,0,0,217,
"1122418",20,16,22,27,60,55,34,34,25,27,44,43,30,38,26,23,19,22,33,6,0,625,
"1122419",15,13,13,21,50,46,34,31,24,25,22,24,20,14,9,9,6,3,0,0,0,363,
"1122420",3,8,0,10,25,27,18,13,3,17,14,6,14,4,7,0,0,0,0,0,0,168,
