Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"1100929",29,13,13,17,37,65,51,33,30,27,31,30,15,24,24,15,16,27,14,10,0,536,
"1101001",7,12,0,8,10,12,18,6,11,7,11,8,5,4,0,7,7,6,3,0,0,146,
"1101002",7,25,31,24,24,11,14,26,28,19,39,35,31,22,14,12,0,0,0,0,0,362,
"1101003",6,18,16,26,25,12,9,9,15,27,42,26,25,30,19,8,0,0,0,0,0,323,
"1101004",25,19,29,20,13,21,23,36,23,31,10,19,13,7,5,5,3,0,0,0,0,305,
"1101006",34,19,12,13,31,62,69,38,29,30,41,34,24,13,10,11,8,3,0,0,0,481,
"1101007",29,21,0,10,19,23,40,24,19,17,16,16,13,9,4,5,9,0,0,0,0,276,
"1101008",40,21,15,23,33,65,44,31,26,34,32,25,25,22,13,8,11,0,0,0,0,472,
"1101009",35,18,10,19,29,35,37,12,13,30,23,34,13,13,8,10,6,3,0,0,0,375,
"1101010",42,14,11,12,39,62,47,26,27,24,18,29,9,8,5,5,8,8,4,0,0,393,
"1101011",0,4,0,0,4,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,26,
"1101012",9,6,7,3,11,12,9,8,12,7,5,8,0,0,0,0,0,0,0,0,0,94,
"1101013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1101014",4,7,7,13,12,5,5,4,6,8,12,13,8,12,21,6,0,0,0,0,0,159,
"1101015",52,25,17,17,66,89,93,37,42,26,43,30,25,18,15,4,0,3,0,0,0,603,
"1101016",44,32,20,29,17,19,30,34,29,50,20,25,15,9,7,14,6,3,0,0,0,415,
"1101017",31,14,10,6,26,46,45,28,15,23,32,21,24,11,6,4,5,5,0,0,0,360,
"1101101",64,41,33,25,22,51,54,60,33,58,34,47,33,26,14,12,7,3,5,0,0,623,
"1101102",10,10,38,23,4,7,4,11,13,35,31,14,13,11,8,0,3,0,0,0,0,243,
"1101103",26,19,26,22,11,6,11,24,20,29,30,31,32,15,12,0,6,0,0,0,0,329,
"1101104",13,31,24,30,31,28,25,21,41,46,48,36,63,58,27,7,7,4,0,0,0,533,
"1101105",17,42,38,26,24,20,23,23,32,52,34,35,36,48,23,13,11,4,0,0,0,494,
"1101106",19,27,30,29,18,10,9,22,26,36,48,38,29,22,11,10,0,0,0,0,0,374,
"1101107",20,25,25,15,22,15,20,11,21,42,40,18,25,8,12,10,0,5,0,0,0,351,
"1101108",45,35,27,15,16,25,44,28,38,23,46,28,19,25,3,14,3,4,0,0,0,450,
"1101109",18,20,27,22,17,6,12,16,27,23,26,43,26,34,22,6,0,0,0,0,0,341,
"1101110",3,12,19,7,11,5,5,11,16,25,10,5,17,17,12,5,6,0,0,0,0,188,
"1101111",20,28,29,37,24,18,15,17,24,58,37,36,39,24,18,18,10,0,0,0,0,461,
"1101112",6,13,19,12,7,8,4,6,17,19,22,27,21,11,17,5,0,0,0,0,0,206,
"1101113",4,9,7,9,6,6,8,9,13,16,18,16,7,5,9,4,0,0,0,0,0,145,
"1101115",17,34,42,27,20,21,13,22,33,43,39,25,26,13,6,0,6,0,0,0,0,377,
"1101116",15,22,14,22,15,15,15,15,43,31,22,25,33,24,14,4,5,8,0,5,0,336,
"1101117",14,19,20,16,20,14,18,18,21,31,16,27,27,23,5,5,0,0,0,0,0,291,
"1101118",33,33,26,17,16,25,33,16,26,28,46,42,29,33,26,17,0,3,0,0,0,432,
"1101119",15,13,19,14,20,13,7,12,24,22,26,41,29,26,5,5,0,3,0,0,0,304,
"1101120",16,35,47,32,26,19,16,22,44,40,61,45,36,29,24,11,0,0,0,0,0,507,
"1101122",11,17,25,10,19,20,6,21,24,16,30,18,21,22,20,8,0,0,0,0,0,294,
"1101123",5,17,17,23,17,6,5,0,10,32,23,17,9,3,3,0,4,0,0,0,0,210,
"1101125",36,47,43,44,25,38,41,49,46,43,38,48,29,19,8,11,3,3,4,0,0,571,
"1101126",25,30,21,27,22,24,32,19,42,41,30,31,33,36,27,10,9,0,0,0,0,449,
"1101127",17,16,25,39,25,14,6,15,27,27,34,31,31,20,12,4,5,5,0,0,0,349,
"1101128",11,8,14,22,16,16,14,13,9,13,19,36,31,19,9,3,0,0,0,0,0,255,
"1101129",17,40,34,31,20,11,7,23,39,47,34,34,25,22,5,4,0,0,0,0,0,406,
"1101130",30,44,44,46,30,13,22,25,60,55,66,64,57,30,16,10,3,0,0,0,0,623,
"1101131",7,20,16,11,7,6,7,13,21,21,24,23,15,7,5,5,6,0,0,0,0,212,
"1101132",8,16,32,24,12,8,3,6,19,29,42,26,19,15,8,3,0,0,0,0,0,277,
"1101133",17,22,22,24,10,6,10,9,32,38,27,29,34,25,14,0,5,0,0,0,0,323,
"1101134",8,18,21,14,5,7,3,6,20,31,27,31,21,27,0,7,0,6,0,0,0,268,
"1101135",17,24,35,24,12,14,13,8,24,37,31,27,17,29,18,13,0,0,0,0,0,345,
"1101136",5,21,24,34,16,5,4,17,31,23,37,32,14,28,12,19,6,3,0,0,0,325,
"1101137",19,27,17,22,21,18,6,31,14,38,33,41,26,18,15,3,7,6,0,0,0,346,
"1101139",5,17,14,27,16,9,3,12,27,17,31,24,16,4,3,0,0,0,0,0,0,237,
"1101140",17,20,25,18,15,7,5,15,25,28,28,28,41,33,25,15,5,6,0,0,0,358,
"1101141",38,51,40,32,32,17,32,45,48,33,55,53,26,20,25,7,5,0,0,0,0,564,
"1101142",35,51,21,11,6,14,16,41,36,29,8,11,12,9,6,0,0,0,0,0,0,303,
"1101143",38,30,19,3,11,38,31,33,13,17,7,0,11,4,0,0,0,0,0,0,0,256,
"1101144",33,21,27,12,13,15,21,27,23,22,14,6,6,3,6,0,0,0,0,0,0,246,
"1101145",38,36,48,44,28,10,35,35,41,41,42,31,15,16,7,3,3,0,0,4,0,472,
"1101146",23,35,34,31,7,13,20,27,31,28,27,12,6,5,3,3,0,0,0,0,0,302,
"1101147",61,22,24,20,16,68,53,54,32,14,15,8,9,4,0,5,0,0,0,0,0,396,
"1101148",43,24,13,11,15,50,42,46,21,12,3,4,7,0,0,0,0,0,0,0,0,301,
"1101149",53,39,16,11,14,56,39,45,19,11,11,3,5,0,0,0,0,0,0,0,0,325,
"1101150",7,28,27,58,16,6,9,21,34,37,36,40,30,7,4,4,0,0,0,0,0,365,
"1101151",5,11,7,13,11,4,5,0,11,9,13,14,12,13,0,0,0,0,0,0,0,125,
"1101152",59,39,44,31,12,22,45,42,40,45,25,21,12,17,9,3,0,0,0,0,0,472,
"1101201",17,18,16,15,12,5,11,23,12,22,16,17,3,11,0,7,0,0,0,0,0,204,
"1101202",13,32,21,25,21,9,7,23,22,32,27,23,14,4,0,0,0,0,0,0,0,269,
"1101203",41,65,59,37,24,19,51,47,52,60,52,36,12,12,9,9,4,0,0,0,0,582,
"1101204",30,45,35,28,13,7,27,31,45,28,43,14,8,9,0,0,0,0,0,0,0,373,
"1101205",15,27,36,35,25,8,17,16,28,39,40,17,13,5,6,0,3,0,0,0,0,324,
"1101206",15,33,45,35,22,8,14,25,41,49,39,25,13,5,7,0,0,0,0,0,0,384,
