Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,,,,,,,,,,,,
CED (UR) by AGE5P - Age in Five Year Groups,,,,,,,,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
AGE5P - Age in Five Year Groups,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Total
CED (UR),,,,,,,,,,,,,,,,,,,,,,
Robertson,8067,8665,8371,8381,7495,7373,7635,8090,9368,9623,9935,10054,9119,9019,7524,5497,4127,3004,1404,318,24,143099
Shortland,8428,9123,8708,8881,8002,7355,8173,7992,9007,9741,9678,9890,9168,9049,7627,5742,4073,2603,1019,214,7,144483
Sydney,6806,3950,2952,8308,28281,36276,30142,19015,13337,10888,9590,8332,6811,5806,3805,2646,1787,1009,357,84,4,200179
Warringah,9152,10023,8834,7517,6985,9620,11741,11897,12350,11424,10029,8597,6987,6655,5455,3826,2717,2147,1073,296,22,147334
Watson,12541,12105,10563,10891,13062,14815,14681,12651,11351,11042,10895,9623,8028,6516,5109,4255,3245,2239,942,237,14,174807
Wentworth,8142,7693,6545,5772,7974,14726,16127,13092,11110,10010,8464,7550,6475,6673,5081,3815,2777,2147,1331,392,50,145952
Werriwa,12417,13426,13251,13200,12370,11209,12269,12003,12173,11705,11505,10117,7979,6158,4183,3154,1996,1221,469,95,4,170906
Whitlam,9154,10026,9879,10105,8478,8041,8596,8631,9693,9922,10227,10137,9143,9200,7565,5813,4026,2428,1000,201,16,152281
No usual address (NSW),339,242,157,516,1359,1561,1139,959,938,878,920,857,866,781,417,201,82,48,24,6,5,12288
Migratory - Offshore - Shipping (NSW),13,11,12,13,9,17,19,7,24,16,36,35,45,64,40,27,20,5,3,0,0,419
Aston,7862,7978,7982,8950,9255,8773,9225,9045,9166,9730,9827,9328,8303,7007,4848,3701,2431,1625,758,203,18,136015
Ballarat,9644,10302,9581,9820,10089,9146,9040,9192,9966,10413,10472,10168,9627,9077,6650,4618,3276,2157,994,230,33,154479
Batman,9673,8635,7304,7609,12524,15688,15691,13072,12120,11472,9559,8491,6912,5980,4840,4589,3847,2585,1082,261,28,161968
Bendigo,9137,9684,9217,9244,9150,8423,8494,8570,9513,9988,10191,10423,9984,9345,6796,5049,3451,2384,1077,248,45,150428
Bruce,9078,8821,8590,9642,12022,12087,12088,10442,10309,10149,9416,8915,8183,7754,6483,5367,3847,2449,1101,234,34,157007
Calwell,10859,11169,11425,12290,12876,12324,11277,10494,10755,11795,11706,10201,8399,7113,5037,3492,2311,1329,457,87,19,165410
Casey,9087,9285,9007,9193,8569,8814,9315,8854,9806,10179,9961,9594,8460,7912,5847,3799,2527,1676,691,162,16,142764
Chisholm,8411,8449,8227,11391,18520,14409,12059,10045,10401,10733,9474,8553,7408,6533,5457,5172,4378,3119,1371,270,27,164432
Corangamite,9632,10315,9820,9220,8917,8159,9119,9343,10427,10142,9750,9937,9724,9211,6832,4747,3461,2436,1228,271,45,152745
Corio,8924,8786,8533,9250,9731,9776,9513,8755,9617,9802,9976,9783,9281,8785,6617,5143,3675,2553,1114,266,28,149917
Deakin,9231,9161,8356,8406,8448,9315,10836,10640,10812,10194,9203,8323,7539,7232,6109,4806,3769,2719,1287,321,39,146766
Dunkley,8870,9034,8474,8676,8422,8341,8950,9044,10079,10634,9826,9584,8636,8474,6908,5118,3616,2332,1018,309,38,146376
Flinders,8290,9410,9001,8649,7501,7062,7540,7941,9745,10569,10403,10783,10828,11254,9059,6481,4447,2958,1236,320,30,153496
Gellibrand,11560,9687,7529,7955,11403,14825,15570,13923,12632,11412,10193,9256,7562,6444,4892,4114,3374,2309,985,250,20,165874
Gippsland,8053,8670,8319,8102,7515,7666,7996,7520,8088,8982,9831,10651,10537,10436,7706,5621,3716,2346,1008,239,34,143030
Goldstein,7881,9794,10088,9195,8092,7166,7855,8558,10967,12373,10990,9943,8395,7760,5857,4260,3318,2963,1683,416,60,147624
Gorton,16179,16133,13802,12730,12840,14084,16356,16376,15425,13178,11152,9907,9020,7396,4448,2693,1635,884,342,89,13,194692
Higgins,7317,7536,6999,7495,13562,17420,15391,11271,10077,10013,9008,8168,7150,6632,5098,4208,3002,2153,1101,287,40,153939
Holt,16895,15570,13338,13279,14217,15095,17560,15847,14110,12885,11995,10906,8761,7013,4694,3300,2292,1366,568,152,21,199865
Hotham,9349,9295,8316,8656,10493,10646,11276,10693,10752,10729,9523,8889,7741,7007,5476,4542,3750,2698,1178,248,27,151284
Indi,7756,8799,8626,8346,6848,6802,7222,7467,8649,9341,10001,10669,10294,9804,7297,5061,3447,2372,1068,275,36,140185
Isaacs,10647,10332,9386,9345,9818,10415,11687,11772,12127,11745,10564,9361,8282,7230,5459,4043,2982,2199,981,248,28,158653
Jagajaga,8799,9038,8299,8367,8522,8484,8952,9582,10301,10223,9569,9457,8389,7485,5571,3990,2907,2094,1036,218,22,141300
Kooyong,6496,8335,9374,10386,11954,11153,9193,8451,9292,10480,10099,8800,7563,6933,5327,3958,3221,2520,1430,377,44,145397
La Trobe,10448,11520,11296,11571,9821,8618,9753,10852,12476,12548,11254,9849,8171,6790,4620,3242,2048,1345,564,158,17,156961
Lalor,22416,19338,14800,13504,14492,18804,24907,21593,17121,14685,12632,10784,8840,7076,4485,3007,1890,1062,429,93,13,231980
Mallee,7956,8594,8336,8499,7284,7778,7368,6979,7849,8958,9561,10156,9512,8953,6797,5531,4008,2804,1289,311,59,138597
Maribyrnong,9757,9159,8828,9579,12892,13952,13678,11358,11237,11342,10246,9691,8646,7591,5853,4914,3855,2504,1105,223,11,166420
McEwen,17849,16653,14616,13650,12640,14625,16914,16098,15534,14819,13183,11591,9909,8635,5757,3565,2338,1438,562,136,22,210529
McMillan,11599,11641,10503,9995,9079,9829,10662,9713,10097,10857,10669,10843,10374,10254,7924,5597,3830,2490,1068,269,37,167327
Melbourne,8568,5969,4756,12769,34390,36736,27611,16538,11492,10053,8608,7859,6684,5675,3841,2739,2067,1381,652,175,26,208588
Melbourne Ports,7798,6263,5176,5868,12938,20938,20724,14549,11628,10498,9043,8540,7270,6762,4429,3133,2170,1696,957,286,34,160704
Menzies,6724,7916,8169,9222,8722,7654,7368,7834,8803,10183,10035,9363,8035,7464,6527,5557,3935,2519,1122,312,61,137534
Murray,8569,9209,9043,9133,7200,7588,7629,7490,8620,9408,9995,10264,10008,9547,7513,5824,4149,2653,1216,264,44,145367
Scullin,11773,10787,10024,10409,12079,12760,13710,11886,11305,11166,10915,10062,8584,7586,5383,4077,3012,1639,632,133,23,167967
Wannon,7122,8051,8147,8065,6742,6461,6456,6813,7930,9039,9685,10019,9897,9320,7104,5257,3732,2535,1105,266,38,133777
Wills,10637,9111,7584,7516,13325,18450,18072,14727,12061,10795,9400,8071,6533,5617,4479,4695,4126,2923,1222,238,36,169648
No usual address (Vic.),374,196,179,357,899,988,855,691,599,523,455,422,393,313,174,77,47,28,11,0,0,7572
Migratory - Offshore - Shipping (Vic.),0,4,0,0,0,0,0,4,3,7,0,0,3,0,0,0,0,0,0,0,0,26
Blair,12097,12176,10871,10434,10660,11041,11395,9789,10063,10079,9798,9250,8065,7036,5183,3756,2394,1466,595,156,21,156321
Bonner,9356,10032,9501,9857,9962,9152,10395,10412,11358,10966,10110,8879,7637,6789,5177,3949,2926,2007,898,231,24,149634
Bowman,8105,9688,9818,9730,8194,7394,8368,8456,10002,10469,10724,10427,9442,8797,6560,4515,3040,2101,918,223,37,147011
Brisbane,7907,7450,6857,8566,18120,20924,17783,13011,11663,11220,9614,8245,6747,5467,3729,2557,1746,1392,702,161,17,163890
Capricornia,10258,10812,10125,9800,9119,9882,10471,9631,9931,10290,10534,10081,8524,7113,5174,3773,2710,1628,681,165,24,150717
Dawson,9724,10575,10161,9583,9816,10557,10623,9928,10723,11187,11287,10683,9119,7639,5564,3976,2654,1683,656,158,19,156313
Dickson,9868,11268,10593,9881,8857,8316,9410,10086,11360,11258,10003,9080,7685,7232,4928,2911,1685,1136,492,148,15,146216
Fadden,10792,11165,10369,10761,11279,10815,11040,11016,11950,12035,11271,10302,9169,9243,7336,4928,3076,1921,880,236,19,169599
Fairfax,8460,10115,9895,8927,7924,7847,8772,9099,10609,11037,10873,10487,9876,9557,7322,5233,3676,2345,1090,285,33,153467
Fisher,7178,8736,8857,8709,7355,6995,7553,7897,9390,9648,9398,9373,8821,9262,7651,5488,3905,2542,1087,285,36,140168
Flynn,11282,12048,10967,9223,8659,9787,10805,9871,10652,11089,11417,10592,8815,7515,5435,3638,1999,1154,411,114,13,155484
Forde,12646,13042,11493,11354,11144,11467,11864,11386,11628,11056,9918,9368,8116,7759,5362,3596,2207,1384,588,141,17,165537
Griffith,8817,8365,8013,8447,14773,17393,16298,12983,12105,10928,9249,8067,6420,5106,3506,2627,1992,1560,763,177,18,157606
Groom,9702,10596,10181,10071,9698,9490,9319,8555,9251,9678,9174,9352,8290,7793,6166,4596,3444,2235,1004,244,25,148864
Herbert,11334,11187,10334,11405,13877,12565,11941,10345,10703,10606,9872,9350,7732,6799,4588,3287,2097,1348,503,133,12,159999
Hinkler,7207,8692,8612,8124,6612,6653,6750,6888,7992,8548,9234,9933,10364,11407,9525,6914,4427,2528,1039,238,28,141717
Kennedy,9867,11007,10876,9462,8469,9141,9160,8592,9846,10479,10911,11031,9977,9096,6845,4847,3091,1818,704,148,28,155394
Leichhardt,11856,12871,11859,10790,10520,12061,12296,12170,12938,12830,12501,11531,9932,8198,5565,3417,2119,1299,553,139,14,175451
Lilley,9659,9330,8569,8528,10768,12137,12923,11318,11525,10791,9730,8895,7738,6645,5225,4278,3355,2472,1169,280,44,155380
Longman,10411,11673,10853,10551,10038,9739,9748,9453,10452,10712,10230,9800,9554,9506,7403,4806,2870,1842,757,182,15,160600
Maranoa,9554,10597,9859,8656,7697,8140,8204,8030,9071,9745,10262,10532,9957,9725,7411,5320,3378,2068,821,214,28,149264
McPherson,8726,9542,9192,9364,9085,9199,9832,10009,10873,10627,9768,9673,8721,8491,6328,4769,3388,2461,1211,283,26,151575
Moncrieff,7652,7670,7519,8782,12720,13529,12179,10534,10463,10694,10308,9941,9129,9256,7397,5406,3591,2451,1208,283,31,160732
Moreton,10020,9514,8349,9648,14948,14913,13824,11693,10567,9885,9068,8338,7247,6402,4685,3453,2479,1871,914,238,24,158070
Oxley,12899,12749,11347,11511,11515,11795,12923,12036,11970,11487,10204,8898,7215,5994,4217,2850,1826,1113,525,128,15,163207
Petrie,11247,11371,10345,9749,9617,9996,11383,11154,11622,11040,10274,9238,8602,8621,6602,4896,3604,2471,1127,280,22,163268
Rankin,14609,14263,12628,12541,12835,13810,14650,13235,12061,11302,10438,9807,8526,7359,4744,2878,1748,1073,535,107,15,179171
Ryan,8323,10052,9777,12306,16667,10872,9820,10061,11113,10703,9391,8211,7408,6820,5119,3532,2315,1715,897,233,30,155348
Wide Bay,7052,8678,9291,8152,6048,5785,6370,7200,8792,9879,10636,11377,11372,11671,8910,5829,3664,2181,958,227,37,144096
Wright,9525,11596,11791,10953,8751,7985,8889,9638,11473,11951,11593,10374,9194,8623,6081,3760,2251,1269,591,142,18,156442
