Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"1145446",16,12,55,47,68,118,0,26,13,25,90,475,
"1145447",32,15,75,68,100,137,0,28,19,35,160,660,
"1145448",16,10,34,42,56,74,0,20,5,12,66,336,
"1145449",11,3,44,27,45,75,0,18,8,8,70,309,
"1145450",29,9,69,56,57,110,0,23,9,3,73,429,
"1145451",12,14,44,35,43,73,0,54,19,27,39,343,
"1145501",37,15,92,39,48,81,0,27,21,38,79,481,
"1145502",9,12,25,33,42,65,0,8,8,18,50,269,
"1145503",34,20,83,51,74,89,0,25,16,24,93,502,
"1145504",22,8,35,26,46,81,0,17,12,15,45,311,
"1145505",19,3,37,33,52,93,0,13,10,22,78,366,
"1145506",57,30,109,64,73,119,0,19,24,41,86,627,
"1145507",14,12,76,40,62,124,0,23,19,29,91,492,
"1145508",35,23,79,60,61,90,0,26,13,36,66,486,
"1145509",21,8,57,29,49,67,0,12,5,22,58,332,
"1145510",3,5,39,14,45,58,6,24,22,82,57,346,
"1145511",18,9,65,41,61,88,0,25,13,25,64,392,
"1145512",26,7,59,24,39,59,0,14,21,20,51,306,
"1145513",24,6,50,41,38,86,0,22,15,33,58,370,
"1145514",44,18,82,37,16,67,0,10,18,31,46,367,
"1145515",23,13,50,51,45,96,0,25,10,33,85,439,
"1145601",0,0,0,0,0,0,0,0,0,0,0,5,
"1145701",8,0,18,18,67,100,0,24,6,8,69,316,
"1145702",11,8,39,35,81,147,0,28,14,31,85,478,
"1145703",8,0,31,19,86,109,0,25,10,11,87,392,
"1145704",10,0,22,18,82,128,0,58,12,45,98,478,
"1145705",5,0,24,19,72,118,0,34,12,29,87,398,
"1145706",3,0,17,10,48,71,0,12,6,26,40,236,
"1145707",3,0,12,22,45,100,0,21,4,32,60,293,
"1145708",3,3,7,21,37,102,0,29,4,32,44,279,
"1145709",8,0,24,26,67,124,0,44,10,11,59,381,
"1145710",0,0,22,28,52,120,0,21,12,14,66,338,
"1145711",4,0,28,28,110,160,0,37,15,26,121,528,
"1145712",7,0,33,47,106,183,0,62,24,44,144,645,
"1145713",5,0,16,27,76,168,0,60,14,37,112,520,
"1145714",3,0,3,11,49,76,0,18,4,28,61,257,
"1145715",8,0,20,37,104,186,0,54,14,34,123,582,
"1145716",5,0,15,16,61,115,0,29,5,17,65,328,
"1145717",6,3,23,23,100,190,0,56,22,52,175,659,
"1145718",3,0,48,41,94,134,0,43,17,61,142,581,
"1145719",9,4,16,16,53,67,0,28,5,35,61,293,
"1145720",3,0,14,32,72,104,0,35,16,24,61,366,
"1145721",3,7,33,24,89,200,0,42,20,30,119,573,
"1145722",4,0,17,15,48,88,0,18,8,19,73,288,
"1145723",9,6,17,22,72,97,0,36,21,19,107,399,
"1145724",6,4,18,18,76,99,4,20,16,17,69,344,
"1145725",3,0,19,20,53,84,0,25,4,19,65,298,
"1145726",4,4,8,16,41,73,0,26,4,5,31,217,
"1145727",3,0,14,17,60,92,0,15,6,4,49,273,
"1145728",7,0,19,21,43,82,0,23,6,10,38,252,
"1145729",0,0,13,22,61,108,0,32,13,19,47,312,
"1145730",0,0,8,24,58,101,0,29,14,28,68,336,
"1145731",6,4,11,13,37,73,0,18,6,12,47,223,
"1145732",10,4,25,31,76,137,0,25,10,22,125,479,
"1145733",3,0,22,29,71,113,0,23,17,13,85,385,
"1145734",5,0,25,28,80,155,0,37,14,13,95,454,
"1145735",3,0,9,20,38,70,0,7,8,10,66,229,
"1145736",9,0,11,12,45,60,0,28,5,10,53,239,
"1145737",5,4,30,45,90,131,0,36,11,14,84,459,
"1145738",8,0,27,30,75,118,0,33,12,32,67,408,
"1145739",4,3,23,31,47,110,5,31,4,18,68,335,
"1145740",3,9,35,27,102,164,0,36,14,30,99,515,
"1145741",4,4,15,13,51,74,0,25,15,25,81,307,
"1145801",7,6,28,27,60,143,0,23,18,30,94,437,
"1145802",3,3,23,29,69,106,0,28,13,21,61,351,
"1145803",3,5,23,20,52,102,0,18,4,11,66,302,
"1145804",0,0,24,13,51,94,0,10,0,17,58,266,
"1145805",6,4,26,14,47,85,0,20,8,5,66,283,
"1145806",5,0,22,24,79,114,0,24,9,10,68,352,
"1145807",3,0,23,25,74,131,0,33,6,19,103,428,
"1145808",8,0,33,33,82,137,0,25,16,12,93,448,
"1145809",4,0,13,16,72,107,0,45,15,40,91,408,
"1145810",0,4,11,12,75,130,0,76,12,37,77,431,
"1145811",0,0,15,15,60,80,0,34,8,60,97,368,
"1145812",13,0,30,34,72,120,0,39,22,62,106,504,
"1145813",4,6,35,26,87,143,0,42,11,35,139,534,
"1145814",6,3,32,35,72,105,0,32,10,25,128,451,
"1145815",0,0,16,20,71,95,0,14,8,16,99,345,
"1145816",3,0,13,12,31,97,0,48,7,62,109,384,
"1145817",4,0,12,14,48,105,0,31,0,29,56,293,
"1145818",0,3,25,21,44,92,0,18,6,24,56,291,
"1145819",5,4,29,31,70,104,0,25,12,21,90,384,
"1145820",11,3,24,33,108,136,0,24,12,21,122,491,
"1145821",3,5,28,11,43,65,0,21,6,11,45,244,
"1145822",9,0,63,43,106,156,0,45,19,40,121,604,
"1145823",3,0,12,27,51,74,0,23,10,29,66,296,
"1145824",0,0,18,20,45,69,0,20,5,26,45,248,
"1145825",0,0,0,0,4,3,0,6,0,10,0,18,
"1145826",16,0,33,28,78,121,0,32,8,20,122,457,
"1145827",3,0,13,13,39,54,0,11,4,6,44,186,
"1145828",0,8,22,26,57,100,0,22,9,8,79,332,
"1145829",3,0,34,31,62,130,0,22,4,15,121,443,
"1145830",0,8,25,39,106,136,0,24,8,13,127,495,
"1145831",15,0,29,30,81,147,0,23,18,4,81,425,
"1145832",8,0,23,27,61,89,0,22,7,15,55,296,
"1145833",0,0,6,19,32,99,3,55,0,36,114,363,
"1145834",6,0,14,12,37,75,0,28,4,18,49,237,
"1145835",3,0,31,21,45,80,0,20,13,14,47,282,
"1145836",3,3,6,14,40,47,0,15,7,9,47,190,
"1145837",4,4,22,27,86,132,0,43,6,38,100,469,
"1145838",15,8,36,44,97,138,0,33,14,25,67,468,
"1145839",8,0,17,18,34,72,0,4,0,28,34,226,
"1145840",4,4,24,19,58,89,0,24,3,19,44,294,
"1145841",10,5,44,39,92,88,0,30,12,14,99,429,
"1145842",82,32,227,161,234,384,0,51,34,93,392,1684,
"1145843",0,0,8,8,48,115,3,63,7,62,154,467,
"1145844",3,8,20,17,60,87,0,28,7,10,86,322,
"1145845",3,4,19,17,52,82,0,24,9,13,59,280,
"1145846",6,0,31,21,88,118,0,25,14,26,105,428,
"1145847",5,0,11,12,35,73,0,7,4,14,49,223,
"1145848",256,51,619,456,697,1205,3,200,106,202,1369,5160,
"1145849",8,3,22,16,82,130,0,34,10,30,87,426,
"1145901",10,11,40,34,57,88,0,34,8,13,70,368,
"1145902",25,7,41,48,79,179,0,44,16,31,101,572,
"1145903",8,3,34,30,49,59,0,18,11,12,62,292,
"1145904",6,6,44,36,64,129,0,34,21,42,79,475,
"1145905",9,0,22,42,80,143,0,108,20,35,70,532,
"1145906",23,4,77,49,98,143,0,26,11,20,138,591,
"1145907",18,6,43,42,59,107,0,16,10,18,87,409,
"1145908",11,3,30,29,41,64,0,16,12,20,69,283,
"1145909",24,7,32,29,64,117,0,32,18,34,72,434,
"1145910",8,7,53,45,83,157,0,49,17,23,126,574,
"1145911",7,7,24,23,51,91,0,14,9,10,45,261,
"1145912",7,6,39,32,62,100,0,44,11,29,85,416,
"1145913",13,9,60,50,107,146,0,43,15,28,138,615,
"1145914",6,0,20,21,58,72,0,22,7,5,59,267,
"1145915",16,12,60,56,101,152,0,18,23,31,101,569,
"1145916",7,0,24,9,44,65,0,16,3,15,58,234,
"1145917",14,3,41,18,69,167,0,29,17,10,97,468,
"1145918",12,9,34,38,69,110,0,33,17,27,60,417,
"1145919",3,6,26,18,47,63,0,8,9,10,42,231,
"1145920",7,3,44,28,52,76,0,12,18,19,74,340,
"1145921",11,5,28,40,44,63,0,8,8,11,42,265,
"1145922",14,15,43,43,60,103,0,19,14,29,93,428,
"1145923",17,8,40,36,64,108,0,19,5,21,79,390,
"1145924",12,7,34,38,64,109,0,18,12,16,88,395,
"1145925",15,4,43,37,61,86,0,20,14,27,88,392,
"1145926",5,0,17,27,61,104,0,26,13,25,78,362,
"1145927",12,3,46,24,101,124,0,29,13,20,98,469,
"1145928",15,15,41,37,104,173,0,53,25,42,130,638,
"1145929",11,8,41,27,69,110,0,41,10,40,76,429,
"1145930",11,3,23,22,67,75,0,24,16,19,84,343,
"1145931",13,3,31,38,71,123,0,33,16,28,106,463,
"1145932",0,0,0,12,21,43,0,32,6,242,4,354,
"1145933",21,6,38,33,98,164,0,24,5,11,126,536,
"1145934",14,4,29,41,75,100,0,31,9,15,97,410,
"1146001",5,0,31,26,62,111,0,27,11,11,68,354,
"1146002",9,9,31,34,52,102,0,19,16,23,66,353,
"1146003",13,3,25,21,40,102,0,18,0,19,58,307,
"1146004",12,3,28,12,41,56,0,6,0,20,76,264,
"1146005",11,0,35,38,61,143,0,20,7,17,141,468,
"1146006",8,0,29,13,26,69,0,13,4,3,50,225,
"1146007",9,3,31,25,47,82,0,7,8,11,56,281,
"1146008",5,0,37,37,83,133,0,19,16,10,87,435,
"1146009",9,4,31,39,45,108,0,20,6,15,95,380,
"1146010",15,5,51,33,64,142,0,19,11,21,131,494,
"1146011",3,0,20,20,40,83,0,16,16,23,77,302,
"1146012",24,3,62,51,91,158,0,21,16,26,146,599,
"1146013",11,6,29,29,66,138,0,10,12,21,126,446,
"1146014",11,8,32,61,97,166,0,33,9,18,146,590,
"1146015",19,8,66,60,70,167,0,33,21,19,191,649,
"1146016",13,3,55,41,83,168,0,28,13,30,135,572,
"1146017",0,0,0,0,0,0,0,0,0,0,0,0,
"1146018",15,3,50,48,75,138,0,31,13,21,114,501,
"1146019",15,3,44,50,107,168,0,40,15,64,123,630,
"1146020",9,5,38,37,69,110,0,18,5,24,79,387,
"1146021",9,5,46,53,62,157,0,32,17,30,99,527,
"1146022",9,5,45,42,60,116,0,27,10,32,107,457,
"1146023",3,5,24,31,63,81,0,26,10,15,95,356,
"1146024",8,11,55,38,97,175,0,30,16,13,124,573,
"1146025",5,0,23,26,40,85,0,19,8,5,35,239,
"1146026",19,4,39,54,69,138,4,25,17,18,135,520,
"1146027",11,8,33,56,97,139,0,46,19,25,131,556,
"1146028",14,0,44,44,65,123,0,23,21,5,146,476,
"1146029",11,7,36,26,67,99,0,21,9,32,107,413,
"1146030",12,9,29,22,38,94,0,16,7,16,32,266,
"1146031",15,3,43,44,73,165,0,21,16,13,122,528,
"1146032",10,3,26,18,25,52,0,12,10,3,50,199,
"1146033",4,5,28,34,61,117,0,22,9,7,84,364,
"1146034",9,4,44,29,58,113,0,20,15,32,110,436,
"1146035",29,15,94,84,134,271,0,34,24,51,263,995,
"1146036",15,4,41,38,73,153,0,21,9,26,100,472,
"1146037",0,9,26,19,37,54,0,9,11,3,72,241,
"1146038",3,4,32,21,45,88,0,16,4,15,73,312,
"1146039",15,3,45,23,47,86,0,21,6,24,78,341,
"1146040",3,0,30,27,51,100,0,15,7,26,78,338,
"1146041",20,0,42,33,64,132,0,24,12,14,89,436,
"1146042",16,11,66,39,66,128,0,26,14,19,123,508,
"1146043",23,6,62,51,122,179,0,28,9,24,140,645,
"1146044",9,6,40,55,92,144,0,30,9,27,106,518,
"1146045",5,4,37,19,84,137,0,39,8,15,104,448,
"1146046",10,7,32,25,48,61,0,21,8,13,79,309,
"1146047",16,7,76,42,75,187,0,31,13,15,160,626,
"1146048",14,7,70,38,59,107,0,19,15,9,153,500,
"1146049",20,5,40,24,50,116,0,13,11,13,88,374,
"1146101",10,6,23,16,59,82,0,28,4,13,75,312,
"1146102",4,5,18,16,56,85,0,20,13,10,70,295,
"1146103",16,0,39,35,123,165,0,39,13,28,154,616,
"1146104",0,5,16,24,50,96,0,12,21,13,71,310,
"1146105",7,4,12,26,56,113,0,31,5,23,94,362,
"1146106",12,10,38,45,75,198,0,42,21,35,150,617,
"1146107",3,0,14,21,58,103,0,28,7,13,71,321,
"1146108",4,3,20,19,50,62,0,21,13,13,90,296,
"1146109",10,3,45,27,74,126,0,27,9,7,87,417,
"1146110",17,0,25,33,84,136,0,39,12,31,121,499,
"1146111",9,0,30,16,49,76,0,18,5,27,81,303,
"1146112",12,3,51,39,97,154,0,41,20,30,119,547,
"1146113",7,3,38,26,50,95,0,22,8,16,40,307,
"1146114",3,6,15,19,56,94,0,23,9,17,76,327,
"1146115",9,0,32,19,57,109,0,19,15,22,73,358,
"1146116",11,4,26,34,83,148,0,35,11,24,101,476,
"1146117",17,0,58,54,117,159,0,56,19,33,121,620,
"1146118",10,6,41,33,73,137,0,26,8,17,100,459,
"1146119",18,4,38,38,83,140,0,37,12,18,94,471,
"1146120",12,5,34,43,125,201,0,52,20,43,143,667,
"1146121",3,10,39,26,111,163,0,46,21,44,146,607,
"1146122",7,3,7,6,37,57,0,17,6,18,37,194,
"1146123",9,5,25,21,60,91,0,18,9,23,91,345,
"1146124",12,0,35,18,49,82,0,24,17,20,61,319,
"1146125",0,6,19,26,50,96,0,27,8,19,84,337,
"1146126",10,5,29,28,69,124,0,32,14,14,75,410,
"1146127",11,5,40,51,88,174,0,55,19,64,129,627,
"1146128",3,3,27,20,62,100,0,30,5,41,48,330,
"1146129",4,0,17,24,79,159,0,61,16,56,102,519,
"1146130",0,5,20,27,44,107,0,40,9,35,61,364,
"1146131",12,0,31,28,70,128,0,30,12,18,117,445,
"1146132",6,3,22,26,34,89,0,32,8,16,65,310,
"1146133",0,0,0,0,0,0,0,0,0,0,0,4,
"1146134",13,3,29,17,71,131,0,42,6,42,113,462,
"1146135",0,0,10,16,36,54,0,29,6,22,41,212,
"1146136",12,3,44,38,105,151,5,30,15,70,68,533,
"1146137",24,11,95,63,109,207,0,33,9,90,98,741,
"1146138",14,6,37,39,85,145,0,69,13,41,111,553,
"1146139",9,9,32,48,104,146,0,39,20,44,104,542,
"1146140",0,0,4,10,38,89,0,60,8,47,15,280,
"1146141",14,5,51,54,92,128,0,34,20,40,99,543,
"1146202",23,5,52,46,69,149,0,39,10,29,114,524,
"1146203",9,0,32,37,56,85,0,36,10,31,82,390,
"1146204",11,4,33,30,100,165,0,51,19,34,123,559,
"1146205",9,12,34,24,79,143,0,45,13,23,106,494,
"1146206",24,6,58,41,95,185,0,50,23,100,140,722,
"1146207",17,4,46,41,77,192,0,61,17,36,145,634,
"1146208",31,3,44,22,38,75,0,22,16,23,64,346,
"1146209",5,3,18,20,51,83,0,14,12,12,61,281,
"1146210",7,0,22,10,26,58,0,13,3,12,48,205,
"1146211",70,15,181,111,201,362,0,88,38,98,317,1480,
"1146212",4,0,14,19,27,45,0,20,3,16,35,187,
"1146213",3,3,18,18,40,127,0,34,13,22,90,373,
"1146214",27,4,45,36,74,157,0,46,8,42,109,541,
"1146215",0,0,0,0,0,0,0,0,0,0,0,0,
"1146217",23,10,36,27,46,101,0,16,10,22,90,385,
"1146218",3,0,16,9,44,71,0,29,6,16,44,247,
"1146219",13,8,67,44,95,203,5,25,23,42,158,683,
"1146220",3,3,25,16,53,79,0,25,8,32,54,292,
"1146221",14,0,18,17,41,91,0,17,9,6,43,265,
"1146223",21,7,62,42,70,155,0,44,10,30,114,545,
"1146224",20,3,52,40,101,192,0,75,13,63,140,706,
"1146225",17,6,44,32,57,155,0,36,12,99,134,600,
"1146226",11,0,22,7,29,80,0,17,4,16,54,235,
"1146227",21,0,50,18,57,113,0,38,13,83,75,470,
"1146228",14,0,20,45,84,152,0,52,19,39,123,549,
"1146229",4,6,33,29,90,153,0,35,18,42,89,502,
"1146230",7,0,24,15,35,87,0,13,10,18,59,266,
"1146231",4,7,37,36,74,144,0,31,17,23,94,463,
"1146232",6,0,19,5,31,61,0,7,10,8,46,187,
"1146233",11,3,28,33,89,156,0,23,6,25,107,494,
"1146234",12,5,26,20,60,131,0,26,8,9,89,384,
"1146235",4,9,44,27,66,150,0,15,11,24,121,476,
"1146236",12,0,44,51,79,170,0,39,17,29,149,597,
"1146237",11,6,18,16,46,85,0,19,5,13,53,274,
"1146238",11,9,26,18,70,96,0,42,12,11,75,369,
"1146239",21,11,61,35,105,170,0,51,18,46,140,664,
"1146240",17,5,31,20,39,89,3,35,19,29,82,360,
"1146241",8,4,49,25,39,75,0,14,6,7,107,331,
"1146242",8,5,8,23,25,57,0,13,6,15,44,193,
"1146243",15,0,34,22,40,101,3,25,7,45,68,367,
"1146244",19,3,43,25,46,96,0,37,10,94,108,491,
"1146245",17,3,31,33,49,98,0,21,9,50,64,374,
"1146246",40,14,130,76,161,251,0,43,21,30,331,1083,
"1146301",0,3,10,7,31,42,0,10,8,19,30,169,
"1146302",0,0,24,17,63,82,0,21,3,11,62,288,
"1146303",12,0,18,34,88,121,0,37,18,29,89,446,
"1146304",106,40,328,243,420,620,0,121,72,168,778,2905,
"1146305",15,5,49,37,39,87,0,28,13,49,58,377,
"1146306",10,0,38,27,68,96,0,29,0,27,65,357,
"1146307",12,3,41,33,88,122,0,34,19,14,113,483,
"1146308",27,4,97,84,164,272,0,77,35,72,272,1108,
"1146310",7,3,25,16,62,102,0,18,14,29,64,346,
"1146311",4,0,14,14,46,62,0,19,7,23,57,240,
"1146312",9,0,42,29,71,146,0,37,16,38,89,480,
"1146313",12,0,27,21,31,70,0,40,10,15,38,261,
"1146314",3,3,36,10,39,81,0,30,21,16,40,281,
"1146315",14,5,49,24,74,119,0,23,10,20,65,409,
"1146316",6,0,13,16,27,81,0,32,4,20,30,232,
"1146317",0,0,22,7,31,74,0,20,7,32,21,223,
"1146318",6,0,21,19,65,95,0,36,10,37,53,334,
"1146319",12,4,27,33,35,41,0,21,13,14,66,254,
"1146320",0,0,19,9,38,58,0,22,12,22,58,244,
"1146321",0,0,6,9,11,37,0,7,3,11,13,99,
"1146401",11,0,30,22,41,95,0,22,12,34,56,318,
"1146402",7,7,23,18,26,100,0,30,8,25,60,303,
"1146403",15,6,34,30,68,116,0,34,16,35,89,439,
"1146404",14,0,29,24,47,137,0,53,13,58,54,424,
"1146405",15,10,48,69,87,168,4,40,23,70,74,604,
"1146406",12,6,31,25,45,111,0,29,11,40,40,339,
"1146407",18,6,56,41,89,143,0,38,18,33,102,534,
"1146408",7,3,31,24,105,193,0,50,18,41,116,585,
"1146409",6,0,20,33,77,143,4,60,11,48,104,500,
"1146410",6,0,11,17,38,92,0,35,8,36,96,343,
"1146411",5,0,23,24,68,110,0,26,11,34,101,401,
"1146412",10,0,45,25,57,108,0,39,13,31,71,402,
"1146413",8,0,19,18,47,123,0,60,14,173,45,504,
"1146414",23,9,49,46,95,195,0,47,16,92,76,655,
"1146415",12,0,46,25,44,76,0,28,4,37,72,338,
"1146416",10,3,25,13,27,61,0,12,11,62,34,258,
"1146417",4,3,13,6,28,55,0,21,6,19,26,176,
"1146418",10,5,34,25,59,106,0,37,10,27,77,393,
"1146419",12,3,50,30,57,132,0,58,19,39,69,469,
"1146420",9,7,36,27,64,96,0,21,11,46,68,389,
"1146421",10,4,23,29,56,116,0,47,7,58,59,412,
"1146422",0,0,25,6,46,43,0,29,0,17,33,201,
"1146423",14,11,37,35,56,103,0,29,13,47,63,400,
"1146424",4,0,19,12,26,103,0,131,13,47,8,358,
"1146425",17,9,25,27,42,81,0,27,18,36,28,303,
"1146426",0,0,6,0,0,5,0,3,0,5,0,21,
"1146427",0,0,0,0,0,6,0,0,0,0,0,8,
"1146428",77,17,129,51,102,161,0,23,23,30,134,750,
"1146429",0,5,16,21,63,126,0,37,7,46,96,416,
"1146430",10,6,44,52,93,180,0,62,19,34,109,605,
"1146431",16,5,30,35,82,143,0,54,19,34,94,530,
"1146432",30,5,55,41,97,137,0,28,15,37,102,552,
"1146433",12,6,41,22,59,91,0,32,11,45,38,356,
"1146501",16,0,29,43,111,174,0,30,23,37,158,624,
"1146502",0,0,0,0,0,0,0,0,0,0,0,0,
"1146503",0,0,0,0,0,0,0,0,0,0,0,0,
"1146504",10,3,58,50,117,153,0,27,16,14,154,598,
"1146505",0,3,22,25,69,109,0,27,19,27,69,371,
"1146507",6,0,27,18,98,135,0,27,6,37,115,477,
"1146508",7,0,21,18,70,77,0,32,5,23,78,337,
"1146509",5,7,13,17,42,58,0,12,0,15,57,220,
"1146510",3,0,15,16,66,101,0,34,9,24,96,360,
"1146511",3,3,17,39,106,140,0,47,18,41,94,511,
"1146512",0,3,13,12,62,133,0,51,12,24,57,367,
"1146513",4,0,24,17,60,62,0,29,5,29,40,263,
"1146514",7,0,19,22,74,107,0,27,10,38,80,385,
"1146515",5,0,13,23,63,83,0,28,7,28,65,321,
"1146516",4,3,32,17,84,110,0,13,5,7,77,354,
"1146601",8,3,30,45,102,178,0,44,18,48,91,570,
"1146602",0,4,21,14,19,44,0,18,6,14,33,183,
"1146603",15,7,20,27,70,85,0,24,8,14,74,335,
"1146604",6,3,28,23,92,147,4,46,9,27,108,487,
"1146605",12,0,31,38,59,128,0,40,10,37,75,427,
"1146606",7,0,18,3,20,124,0,21,0,70,0,264,
"1146607",0,0,8,3,18,31,0,11,0,16,25,118,
"1146608",0,0,15,16,36,56,0,40,6,21,46,246,
"1146609",16,8,48,52,77,121,0,35,23,38,95,512,
"1146610",20,7,25,31,65,115,0,52,21,63,46,440,
"1146611",17,5,29,35,55,107,0,31,11,18,129,445,
"1146612",11,6,32,34,78,101,0,38,14,32,79,420,
"1146613",12,4,35,36,94,121,0,38,13,18,103,469,
"1146614",12,8,29,35,92,143,0,49,11,36,95,498,
"1146615",14,12,41,46,83,117,0,37,17,23,119,512,
"1146616",8,3,39,37,96,142,0,30,17,35,93,500,
"1146617",6,0,25,45,113,151,0,44,18,36,115,556,
"1146618",6,6,18,11,29,74,0,57,11,58,15,290,
"1146619",20,8,51,41,71,110,0,32,11,38,48,435,
"1146620",8,4,30,34,75,149,0,57,17,49,98,530,
"1146621",3,4,25,33,54,94,0,50,10,47,46,366,
"1146622",6,3,40,27,51,113,0,40,7,23,78,387,
"1146623",23,9,62,35,81,152,0,41,19,66,59,542,
"1146624",8,5,24,16,33,46,0,9,9,19,18,185,
"1146625",10,3,40,60,82,139,0,62,35,34,65,523,
"1146626",0,0,34,24,74,101,0,23,13,11,92,369,
"1146627",14,0,49,64,119,176,0,49,21,33,136,648,
"1146628",0,4,36,25,83,124,0,33,15,35,64,416,
"1146629",0,8,28,38,73,181,0,59,16,31,120,540,
"1146630",7,3,26,18,56,91,0,31,15,29,55,343,
"1146631",15,5,34,28,87,119,0,16,3,94,83,489,
"1146632",8,3,26,22,44,64,0,30,6,38,38,288,
"1146633",5,10,51,40,78,135,0,44,13,37,92,504,
"1146701",0,0,0,0,3,3,0,0,0,0,0,12,
"1146702",10,0,21,17,75,125,0,38,13,24,70,384,
"1146703",3,0,16,12,32,92,0,41,13,50,33,292,
"1146704",0,4,6,10,35,60,0,31,10,42,39,243,
"1146705",0,0,0,0,0,0,0,0,0,0,0,0,
"1146706",0,0,0,0,0,0,0,0,0,0,0,0,
"1146707",4,7,25,28,108,110,0,30,11,27,141,490,
"1146708",0,0,0,0,0,4,0,0,0,0,0,4,
"1146709",9,0,7,17,47,74,0,31,7,26,68,296,
"1146710",6,0,20,18,63,148,0,67,15,42,91,475,
"1146711",11,0,29,13,59,79,0,32,3,23,49,287,
"1146712",12,4,33,22,53,82,0,37,18,38,40,351,
"1146713",0,0,13,13,51,100,0,49,9,18,63,312,
"1146714",0,0,14,24,57,100,0,31,5,25,71,325,
"1146715",7,3,23,35,113,143,0,32,11,26,124,518,
"1146716",0,7,23,20,72,114,0,31,8,25,107,406,
"1146717",6,0,15,10,70,77,0,25,5,13,64,279,
"1146718",5,0,27,37,116,115,0,24,12,18,144,501,
"1146719",0,0,3,20,44,72,0,14,5,8,65,241,
"1146720",0,4,7,23,39,48,0,18,9,24,40,216,
"1146721",5,0,12,13,73,131,0,61,7,41,111,450,
"1146722",0,4,12,20,53,116,0,24,10,14,70,312,
"1146723",5,0,9,20,36,67,0,21,0,18,68,241,
"1146724",5,4,21,22,60,84,0,35,8,51,53,336,
"1146725",3,3,22,23,73,114,0,58,17,53,81,456,
"1146726",9,0,27,24,66,127,0,48,9,37,123,476,
"1146727",8,3,24,20,67,109,0,37,11,23,75,370,
"1146728",10,0,23,23,44,83,0,18,7,14,46,277,
"1146729",3,3,23,12,44,47,0,15,7,17,36,199,
"1146730",15,4,45,43,95,146,0,51,14,44,80,525,
"1146731",15,3,30,27,79,120,0,35,16,21,59,398,
"1146732",7,3,30,21,54,72,0,11,10,14,35,257,
"1146733",5,0,17,20,69,98,0,16,12,8,74,318,
"1146734",17,6,28,27,49,78,0,16,3,20,47,298,
"1146735",4,0,32,36,80,99,0,31,10,15,84,392,
"1146736",0,0,28,37,82,125,0,27,6,15,92,415,
"1146737",6,3,28,25,74,148,0,28,12,10,87,419,
"1146738",0,0,24,24,100,167,0,35,17,35,108,516,
"1146739",13,9,36,50,93,142,0,34,17,10,108,514,
"1146740",8,5,25,18,68,126,0,29,15,12,99,395,
"1146741",10,11,33,45,94,152,0,33,15,19,119,521,
"1146742",6,0,30,25,80,126,0,29,8,21,81,404,
"1146743",4,11,13,25,48,85,0,23,8,22,55,288,
"1146744",10,9,32,35,108,154,0,37,11,27,103,526,
"1146745",3,0,19,29,88,83,0,25,6,12,111,379,
"1146801",6,0,15,17,84,135,0,42,18,45,73,446,
"1146802",3,0,18,31,85,159,0,76,17,40,111,533,
"1146803",9,0,28,32,133,166,4,63,7,53,123,620,
"1146804",0,0,8,18,56,58,0,31,12,17,43,248,
"1146805",3,0,18,18,64,102,0,43,12,49,70,377,
"1146806",0,4,7,12,41,61,0,20,4,23,51,228,
"1146807",0,0,18,21,71,104,0,36,14,26,71,364,
"1146808",0,0,0,0,0,0,0,0,0,985,0,985,
"1146809",0,0,0,0,0,0,0,0,0,0,0,0,
"1146810",4,0,7,8,67,75,0,36,8,20,40,263,
"1146811",3,0,14,11,70,100,0,40,13,33,98,378,
"1146812",4,3,5,16,44,44,0,23,0,16,50,210,
"1146813",3,0,8,14,56,87,0,37,9,26,44,292,
"1146814",5,0,11,22,58,99,0,16,4,30,73,311,
"1146815",0,0,9,18,82,105,0,35,10,34,72,369,
"1146816",12,3,24,18,78,124,0,47,8,31,71,409,
"1146817",6,3,40,34,88,85,0,28,6,18,71,396,
"1146818",17,7,35,38,96,109,0,17,7,18,108,449,
"1146819",9,0,40,23,78,127,0,47,17,40,126,497,
"1146901",8,6,23,31,92,150,0,28,8,25,87,460,
"1146902",8,0,30,27,82,135,0,22,12,19,81,413,
"1146903",4,6,25,17,47,95,0,22,14,20,66,312,
"1146904",6,4,14,25,43,97,0,16,5,8,51,266,
"1146905",3,0,34,23,53,92,0,14,8,18,70,314,
"1146906",3,7,39,33,84,133,0,32,13,14,99,454,
"1146907",0,0,0,0,0,3,0,0,0,0,0,4,
"1146908",0,0,0,0,0,0,0,0,0,0,0,0,
"1146909",8,6,46,35,76,171,0,37,10,15,85,487,
"1146910",4,0,11,14,28,45,0,7,6,10,43,173,
"1146911",15,6,29,31,92,175,0,31,18,23,85,500,
"1146912",7,0,23,21,54,92,0,15,12,20,39,280,
"1146913",10,0,37,25,57,117,0,15,9,9,65,348,
