Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"SA1 (UR)",
"1103108",0,25,12,10,13,10,21,10,15,22,7,7,5,14,11,0,61,254,
"1103109",0,17,19,18,15,19,7,19,11,11,9,15,11,11,6,5,51,247,
"1103110",0,36,27,28,34,46,26,25,17,39,14,18,18,14,9,22,91,462,
"1103111",0,28,12,24,26,19,25,20,29,16,17,9,12,7,7,19,84,353,
"1103112",0,10,9,7,8,12,9,8,7,13,4,7,3,7,13,10,38,163,
"1103113",0,28,16,24,13,27,31,30,17,20,17,20,17,42,35,27,94,464,
"1103114",6,32,20,25,19,27,23,25,24,33,23,26,9,26,35,31,95,473,
"1103115",3,38,15,18,27,16,37,23,30,42,19,18,15,33,42,13,116,517,
"1103116",3,33,17,22,12,24,73,22,25,35,24,20,23,18,22,26,97,500,
"1103117",0,19,14,27,31,21,26,27,26,23,16,10,14,16,14,12,59,350,
"1103118",0,27,14,21,13,16,12,16,23,20,15,14,11,25,32,16,82,363,
"1103119",0,34,16,22,13,37,24,16,28,27,5,17,12,19,29,26,102,425,
"1103120",0,28,14,30,37,25,18,22,34,34,23,22,11,22,4,5,73,391,
"1103121",0,19,10,18,30,12,17,11,25,11,11,9,15,11,9,6,64,285,
"1103122",0,21,15,29,23,37,29,36,35,27,12,18,13,11,3,23,70,404,
"1103123",0,17,14,30,44,38,23,19,24,21,10,3,7,5,0,44,77,385,
"1103124",0,25,10,15,24,27,21,15,13,26,20,24,17,21,4,11,53,329,
"1103125",4,12,15,10,39,17,21,16,13,15,9,13,5,3,0,27,35,256,
"1103126",0,9,8,15,83,88,60,40,16,16,3,0,0,0,0,46,4,405,
"1103127",0,17,18,29,24,27,24,12,26,30,15,15,10,14,5,16,62,354,
"1103128",0,11,13,10,26,19,16,3,10,16,0,7,0,6,6,222,39,407,
"1103129",0,46,33,28,38,31,30,30,25,25,26,29,17,38,22,12,112,548,
"1103130",3,25,13,25,18,17,7,19,15,18,8,13,9,26,10,16,63,313,
"1103131",5,14,13,43,91,112,95,53,52,26,28,17,11,15,17,79,10,670,
"1103132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1103133",0,27,19,21,30,21,27,24,17,32,18,29,17,25,6,18,68,399,
"1103134",6,21,16,26,32,42,34,23,34,43,18,20,12,21,5,19,69,422,
"1103135",0,25,22,18,32,33,31,32,18,38,24,15,17,10,9,21,60,411,
"1103136",0,29,19,23,24,25,22,30,16,27,17,20,12,18,0,24,89,401,
"1103137",0,0,0,3,15,20,12,3,5,5,0,0,0,0,0,141,5,218,
"1103138",4,37,25,27,38,41,30,47,37,43,18,23,13,28,5,23,89,542,
"1103201",0,27,12,25,42,28,25,32,25,26,19,13,6,9,6,7,87,402,
"1103202",0,23,11,39,44,47,33,28,30,19,18,16,12,9,5,45,112,486,
"1103203",3,48,33,41,29,24,32,46,53,63,43,31,23,37,8,30,178,720,
"1103204",3,38,21,34,48,41,43,45,41,47,26,39,18,10,8,83,134,680,
